Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	که	1395209	21914.4288	7.3407	k e  |  k e h  |  k i  |  k ɪ
2	من	1203069	18896.5022	7.2764	m a n  |  m æ n
3	به	1109189	17421.9371	7.2411	b a  |  b e  |  b e h  |  b i h  |  b ɪ h
4	و	1057310	16607.078	7.2203	o  |  u  |  v a  |  v æ  |  w a  |  ʊ
5	از	934826	14683.2323	7.1668	a z  |  æ z
6	تو	934474	14677.7035	7.1667	t o  |  t oː  |  t u  |  t uː
7	با	468551	7359.4906	6.8668	b ɒː
8	در	446074	7006.4463	6.8455	d a ɾ  |  d e ɾ  |  d o r  |  d æ ɾ
9	نه	427150	6709.2086	6.8267	n o h  |  n u h  |  n ɵː h  |  n ʊ h
10	ما	387898	6092.6808	6.7848	m ɑː  |  m ɒː  |  m ɔː
11	هم	320059	5027.1394	6.7013	h a m  |  h æ m
12	تا	280039	4398.5487	6.6433	t ɑː  |  t ɒː  |  t ɔː
13	فکر	228840	3594.3704	6.5556	f e k  |  f e k ɾ  |  f i k ɾ  |  f ɪ k ɾ
14	شما	214035	3361.8295	6.5266	ʃ o m ɒː  |  ʃ u m ɑː  |  ʃ u m ɔː  |  ʃ ʊ m ɒː
15	کن	213505	3353.5048	6.5255	k e n  |  k o n  |  k u n  |  k ʊ n
16	فقط	210214	3301.8134	6.5188	f a q a t  |  f æ ɢ æ t
17	یه	202919	3187.2314	6.5034	j e
18	این	202157	3175.2628	6.5018	i n  |  iː n
19	همه	184575	2899.1038	6.4623	h æ m e  |  h æ m e j e
20	دارم	176367	2770.1814	6.4425	d ɑː ɾ a m  |  d ɒː ɾ a m  |  d ɒː ɾ æ m  |  d ɔː ɾ a m
21	کار	173405	2723.6576	6.4352	k ɑː ɾ  |  k ɒː ɾ  |  k ɔː ɾ
22	چه	156821	2463.1741	6.3915	t͡ʃ a  |  t͡ʃ a h  |  t͡ʃ e  |  t͡ʃ i  |  t͡ʃ æ h  |  t͡ʃ ɪ
23	پس	150650	2366.2467	6.3741	p a s  |  p æ s
24	چرا	140544	2207.5126	6.3439	t ʃ a ɾ ɔː  |  t ʃ ʊ ɾ ɒː  |  t͡ʃ e ɾ ɒː
25	خوب	137157	2154.3133	6.3333	x u b  |  x uː b
26	حالا	130899	2056.0194	6.313	h ɑː l ɑː  |  h ɒː l ɒː  |  h ɔː l ɔː
27	الان	125441	1970.2911	6.2945	ʔ a l ʔ ɑː n  |  ʔ a l ʔ ɒː n  |  ʔ a l ʔ ɔː n  |  ʔ æ l ʔ ɒː n
28	هر	124067	1948.7098	6.2897	h a ɾ  |  h æ ɾ
29	شد	113064	1775.8866	6.2494	ʃ o d  |  ʃ u d  |  ʃ ʊ d
30	مثل	99919	1569.4192	6.1957	m a s a l  |  m e s e  |  m e s l  |  m e s l e  |  m i s l  |  m i s l i  |  m æ s æ l  |  m ɪ s l  |  m ɪ s l ɪ
31	دست	92620	1454.7744	6.1628	d a s t  |  d æ s t
32	دوست	91946	1444.188	6.1596	d oː s t  |  d uː s t  |  d ɵː s t
33	می	90996	1429.2664	6.1551	m a j  |  m e  |  m e j  |  m eː  |  m iː
34	بچه	85501	1342.9569	6.1281	b a t t͡ʃ a ~ b a t͡ʃ a  |  b e t ʃ e  |  b e tː ʃ e  |  b æ t t͡ʃ e ~ b æ t͡ʃ e
35	حرف	85490	1342.7841	6.128	h a ɾ f  |  h æ ɾ f
36	باید	84045	1320.0877	6.1206	b ɑː j a d  |  b ɒː j a d  |  b ɒː j æ d  |  b ɔː j a d
37	چی	80102	1258.1553	6.0997	t͡ʃ iː ~ t͡ʃ e  |  t͡ʃ iː ~ t͡ʃ i  |  t͡ʃ iː ~ t͡ʃ ɪ
38	سلام	78678	1235.7886	6.0919	s a l ɑː m  |  s a l ɒː m  |  s a l ɔː m  |  s æ l ɒː m
39	کردن	78523	1233.3541	6.0911	k a d a n  |  k a ɾ d a n  |  k e ɾ d æ n  |  k æ ɾ d æ n
40	خیلی	78189	1228.108	6.0892	x a j l e  |  x a j l eː  |  x e j l iː
41	چون	75727	1189.4375	6.0753	t͡ʃ oː n  |  t͡ʃ uː n  |  t͡ʃ ɵː n
42	را	75560	1186.8145	6.0744	ɾ ɒː
43	خونه	74684	1173.0552	6.0693	x oː n æ
44	بعد	73653	1156.8614	6.0633	b a ʔ d  |  b o ʔ d  |  b u ʔ d  |  b æ ʔ d  |  b ɵː ʔ d  |  b ʊ ʔ d
45	برای	72885	1144.7985	6.0587	b a ɾ ɑː j i  |  b a ɾ ɒː j ɪ  |  b a ɾ ɔː j i  |  b æ ɾ ɒː j e
46	انجام	71272	1119.4632	6.049	a n d͡ʒ ɑː m  |  a n d͡ʒ ɒː m  |  a n d͡ʒ ɔː m  |  æ n d͡ʒ ɒː m
47	درست	70962	1114.5941	6.0471	d o ɾ o s t  |  d o ɾ o s ~ d o ɾ o s t  |  d u ɾ u s t  |  d ɾ o s t  |  d ʊ ɾ ʊ s t
48	دو	68760	1080.0075	6.0334	d o  |  d u  |  d uː  |  d ʊ
49	وقت	66341	1042.0124	6.0179	v a q t  |  v æ ɢ t  |  w a q t
50	هنوز	64317	1010.2216	6.0044	h a n oː z  |  h a n ɵː z  |  h æ n u ~ h æ n uː z  |  h æ n uː z
51	سر	64003	1005.2897	6.0023	s a ɾ  |  s e ɾ  |  s i ɾ  |  s æ ɾ  |  s ɪ ɾ
52	روز	63581	998.6613	5.9994	ɾ oː z  |  ɾ uː z  |  ɾ ɵː z
53	تمام	62646	983.9754	5.993	t a m ɑː m  |  t a m ɒː m  |  t a m ɔː m  |  t æ m ɒː m
54	کجا	61710	969.2737	5.9864	k o d͡ʒ ɒː  |  k u d͡ʒ ɑː  |  k u d͡ʒ ɔː  |  k ʊ d͡ʒ ɒː
55	نیست	57253	899.268	5.9539	n e s t  |  n eː s t  |  n iː s t
56	ممنون	56964	894.7287	5.9517	m a m n u n  |  m a m n uː n  |  m æ m n uː n
57	مرد	56828	892.5926	5.9507	m a ɾ d  |  m e ɾ d  |  m æ ɾ d
58	تنها	56560	888.3831	5.9486	t a n h ɑː  |  t a n h ɒː  |  t a n h ɔː  |  t æ n h ɒː
59	واقعا	56012	879.7757	5.9444	v ɒː ɣ e ʔ æ n  |  v ɒː ɣ æ n  |  v ɔː q i ʔ a n  |  w ɑː q i ʔ a n  |  w ɒː q ɪ ʔ a n
60	چند	54425	854.8488	5.9319	t͡ʃ a n d  |  t͡ʃ æ n d
61	سال	54059	849.1001	5.929	s ɒː l
62	نظر	51859	814.5449	5.9109	n a z a ɾ  |  n æ z æ ɾ
63	کمک	50086	786.6965	5.8958	k o m æ k  |  k ɵ m a k
64	چطور	49549	778.2619	5.8911	t͡ʃ e t o w ɾ  |  t͡ʃ i t a v ɾ  |  t͡ʃ i t a w ɾ  |  t͡ʃ ɪ t a w ɾ
65	پسر	48351	759.445	5.8805	p a s a ɾ  |  p e s e ɾ  |  p u s a ɾ
66	گوش	47501	746.0942	5.8728	ɡ oː ʃ  |  ɡ uː ʃ  |  ɡ ɵː ʃ
67	صحبت	47075	739.403	5.8689	s o h b æ t  |  s u h b a t  |  s ɵː h b a t  |  s ʊ h b a t
68	چیزی	45725	718.1987	5.8562	t͡ʃ i z e  |  t͡ʃ iː z eː  |  t͡ʃ iː z iː
69	شروع	45576	715.8583	5.8548	ʃ o r uː ʔ
70	نفر	44859	704.5965	5.8479	n a f a ɾ  |  n æ f æ ɾ
71	بر	44423	697.7483	5.8437	b æ ɾ
72	آدم	44224	694.6226	5.8417	ɑː d a m  |  ɒː d a m  |  ɒː d æ m  |  ɔː d a m
73	قرار	42951	674.6277	5.8291	q a ɾ ɑː ɾ  |  q a ɾ ɒː ɾ  |  q a ɾ ɔː ɾ  |  ɢ æ ɾ ɒː ɾ
74	بار	42566	668.5805	5.8252	b ɒː ɾ
75	خدا	41332	649.1982	5.8124	x o d ɒː  |  x u d ɑː  |  x u d ɔː  |  x ʊ d ɒː
76	پول	41302	648.727	5.8121	p u l  |  p uː l
