Rank	Bigram	Frequency	Frequency per million	Zipf value
1	ie	177939312	27824.7043	7.4444
2	e$	166059452	25967.0283	7.4144
3	o$	122067670	19087.9507	7.2808
4	ni	114153863	17850.4539	7.2516
5	a$	109667514	17148.9151	7.2342
6	^p	100418007	15702.5523	7.196
7	^t	94589910	14791.2018	7.17
8	^n	92652911	14488.3097	7.161
9	^w	79076258	12365.3029	7.0922
10	y$	79028791	12357.8804	7.0919
11	^s	78804125	12322.749	7.0907
12	^m	78600023	12290.8332	7.0896
13	^z	68966321	10784.3931	7.0328
14	i$	68864449	10768.4632	7.0322
15	m$	66576145	10410.6368	7.0175
16	^c	66424618	10386.9422	7.0165
17	ę$	63044277	9858.352	6.9938
18	^j	59483110	9301.4856	6.9686
19	sz	59131793	9246.5495	6.966
20	^d	56641385	8857.1197	6.9473
21	st	56116191	8774.9941	6.9432
22	na	55614413	8696.5302	6.9393
23	wi	54090046	8458.1621	6.9273
24	ze	49744623	7778.6601	6.8909
25	je	49534865	7745.8598	6.8891
26	rz	48801367	7631.1614	6.8826
27	dz	48768166	7625.9697	6.8823
28	cz	48598244	7599.3987	6.8808
29	po	48508669	7585.3916	6.88
30	z$	46803157	7318.6975	6.8644
31	ci	44462360	6952.6627	6.8422
32	ta	43895849	6864.0763	6.8366
33	zy	43655332	6826.4662	6.8342
34	pr	42991766	6722.7032	6.8275
35	to	42713705	6679.2222	6.8247
36	ch	42293014	6613.438	6.8204
37	ra	42243276	6605.6604	6.8199
38	es	41979115	6564.353	6.8172
39	ię	41790513	6534.861	6.8152
40	za	41546384	6496.6861	6.8127
41	zi	41297589	6457.7815	6.8101
42	ć$	39112063	6116.0267	6.7865
43	^o	38992179	6097.2802	6.7851
44	^b	37765875	5905.5208	6.7713
45	em	37748230	5902.7616	6.7711
46	si	36604551	5723.9224	6.7577
47	am	36121037	5648.3144	6.7519
48	ro	35704327	5583.1527	6.7469
49	an	34796165	5441.1417	6.7357
50	^k	34343275	5370.3224	6.73
51	ow	34189075	5346.2098	6.728
52	ia	33185908	5189.3427	6.7151
53	ał	32847825	5136.4761	6.7107
54	mi	32622259	5101.2039	6.7077
55	te	32427276	5070.714	6.7051
56	do	31101842	4863.4534	6.6869
57	ak	30872347	4827.5669	6.6837
58	j$	29590611	4627.1394	6.6653
59	ko	29177868	4562.598	6.6592
60	wa	29043462	4541.5807	6.6572
61	go	28735377	4493.4049	6.6526
62	u$	28639717	4478.4463	6.6511
63	le	27588967	4314.1386	6.6349
64	od	27055031	4230.646	6.6264
65	ma	26489001	4142.1348	6.6172
66	ob	26274460	4108.5866	6.6137
67	k$	26220900	4100.2114	6.6128
68	er	25697818	4018.416	6.6041
69	w$	25564778	3997.6123	6.6018
70	ą$	25457831	3980.8888	6.6
71	że	25097670	3924.5698	6.5938
72	li	24943018	3900.3866	6.5911
73	ła	24894629	3892.8199	6.5903
74	ja	24765342	3872.603	6.588
75	al	24361787	3809.4984	6.5809
76	^i	24357481	3808.825	6.5808
77	as	23722081	3709.4663	6.5693
78	^r	23364986	3653.6267	6.5627
79	mo	23329383	3648.0594	6.5621
80	my	23243419	3634.6171	6.5605
81	ki	23044196	3603.4642	6.5567
82	ar	23003746	3597.139	6.556
83	ac	22716371	3552.2016	6.5505
84	^a	22690260	3548.1186	6.55
85	ka	22491571	3517.0492	6.5462
86	ej	22280075	3483.9772	6.5421
87	by	22239962	3477.7046	6.5413
88	t$	22011267	3441.9431	6.5368
89	on	21566992	3372.471	6.5279
90	en	21227266	3319.3474	6.5211
91	bi	21185405	3312.8016	6.5202
92	eg	21038627	3289.8496	6.5172
93	^ż	21033012	3288.9716	6.5171
94	ty	20704347	3237.5776	6.5102
95	ś$	20408385	3191.2975	6.504
96	os	20195667	3158.0344	6.4994
97	aj	19862449	3105.9284	6.4922
98	wy	19606215	3065.8607	6.4866
99	^g	19557983	3058.3185	6.4855
100	ed	19429601	3038.2432	6.4826
101	co	18796027	2939.17	6.4682
102	aw	18205263	2846.7912	6.4544
103	pa	18172412	2841.6542	6.4536
104	da	17362685	2715.0357	6.4338
105	tr	17328746	2709.7285	6.4329
106	ł$	16962852	2652.513	6.4237
107	ad	16851427	2635.0893	6.4208
108	la	16755957	2620.1605	6.4183
109	ne	16472164	2575.7832	6.4109
110	ym	16385421	2562.219	6.4086
111	eś	16111015	2519.3097	6.4013
112	łe	16066518	2512.3516	6.4001
113	or	15754234	2463.5192	6.3916
114	n$	15432155	2413.1551	6.3826
115	ec	15397210	2407.6906	6.3816
116	ło	15288066	2390.6236	6.3785
117	at	15224470	2380.679	6.3767
118	wo	14936349	2335.6249	6.3684
119	h$	14808172	2315.5817	6.3647
120	in	14728297	2303.0915	6.3623
121	ic	14134680	2210.2665	6.3444
122	pi	14068934	2199.9856	6.3424
123	ny	13973136	2185.0055	6.3395
124	no	13853420	2166.2853	6.3357
125	ys	13546564	2118.3016	6.326
126	^u	13317761	2082.5233	6.3186
127	is	12984424	2030.3988	6.3076
128	ać	12977183	2029.2665	6.3073
129	zn	12643175	1977.037	6.296
130	^l	12451659	1947.0893	6.2894
131	ek	12434094	1944.3426	6.2888
132	sp	11896879	1860.3373	6.2696
133	oj	11827242	1849.448	6.267
134	oc	11825391	1849.1586	6.267
135	mu	11726318	1833.6664	6.2633
136	yc	11629786	1818.5715	6.2597
137	br	11491836	1797.0	6.2545
138	el	11468224	1793.3077	6.2537
139	ba	11386648	1780.5515	6.2506
140	ce	11346464	1774.2679	6.249
141	oś	11274933	1763.0824	6.2463
142	ów	11273609	1762.8754	6.2462
143	ot	11200537	1751.449	6.2434
144	dy	11146293	1742.9668	6.2413
145	ku	11114212	1737.9502	6.24
146	om	11073042	1731.5124	6.2384
147	re	10970181	1715.4278	6.2344
148	ił	10870284	1699.8067	6.2304
149	uj	10869482	1699.6813	6.2304
150	ol	10706519	1674.1985	6.2238
151	az	10701556	1673.4224	6.2236
152	us	10654920	1666.1298	6.2217
153	tu	10478341	1638.5179	6.2145
154	ył	10426830	1630.463	6.2123
155	im	10399703	1626.2211	6.2112
156	d$	10212499	1596.9476	6.2033
157	ws	10184217	1592.5251	6.2021
158	ry	10094961	1578.568	6.1983
159	zo	10008116	1564.9879	6.1945
160	c$	9842875	1539.1488	6.1873
161	ok	9756234	1525.6006	6.1834
162	kt	9674994	1512.897	6.1798
163	mn	9626218	1505.2698	6.1776
164	sk	9615999	1503.6718	6.1772
165	oż	9485313	1483.2362	6.1712
166	tw	9422649	1473.4373	6.1683
167	og	9273522	1450.118	6.1614
168	ż$	9259754	1447.9651	6.1608
169	ją	9213529	1440.7368	6.1586
170	s$	8975160	1403.4626	6.1472
171	oz	8955419	1400.3757	6.1462
172	eb	8914111	1393.9163	6.1442
173	zę	8508413	1330.4765	6.124
174	ho	8477350	1325.6191	6.1224
175	śl	8438635	1319.5652	6.1204
176	ha	8253531	1290.6201	6.1108
177	de	8234479	1287.6409	6.1098
178	śc	8168492	1277.3224	6.1063
179	bo	8141983	1273.1772	6.1049
180	dn	8078956	1263.3215	6.1015
181	ić	7926329	1239.4549	6.0932
182	tk	7891962	1234.0809	6.0913
183	sa	7872043	1230.9661	6.0902
184	we	7736210	1209.7257	6.0827
185	ca	7680993	1201.0913	6.0796
186	et	7649671	1196.1934	6.0778
187	mó	7627816	1192.7759	6.0766
188	il	7476369	1169.0939	6.0678
189	ap	7406348	1158.1445	6.0638
190	ią	7189150	1124.1809	6.0508
191	ąd	7155185	1118.8697	6.0488
192	ęd	7143275	1117.0073	6.0481
193	zu	7114134	1112.4505	6.0463
194	ab	7110776	1111.9254	6.0461
195	op	7101113	1110.4144	6.0455
196	yś	7057254	1103.5561	6.0428
197	ew	6997935	1094.2802	6.0391
198	ję	6990677	1093.1453	6.0387
199	hc	6923321	1082.6127	6.0345
200	ez	6912032	1080.8474	6.0338
201	uc	6804557	1064.0414	6.027
202	yl	6640050	1038.3171	6.0163
