Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	nie	37981810	36260.6979	7.5594	ɲ ɛ
2	to	28192203	26914.6982	7.43	t ɔ
3	się	22930032	21890.9779	7.3403	ɕ ɛ
4	w	17460549	16669.3397	7.2219	f  |  v  |  v u
5	na	15054764	14372.5707	7.1575	n a
6	i	13895221	13265.5713	7.1227	i
7	z	13605059	12988.5578	7.1136	s  |  z  |  z ɛ t
8	że	13405785	12798.3137	7.1072	ʐ ɛ
9	co	12636988	12064.3541	7.0815	t͡s ɔ
10	jest	11942838	11401.6589	7.057	j ɛ s t
11	do	10303606	9836.7072	6.9928	d ɔ
12	tak	9524263	9092.6794	6.9587	t a k
13	o	7742523	7391.6774	6.8687	ɔ
14	jak	7514603	7174.0854	6.8558	j a k
15	ale	6509650	6214.671	6.7934	a l ɛ  |  ɛ j l
16	mnie	6262514	5978.7337	6.7766	m ɲ ɛ
17	a	6093625	5817.4978	6.7647	a
18	mi	5422007	5176.3135	6.714	m i
19	za	4597010	4388.7006	6.6423	z a
20	ja	3843732	3669.5567	6.5646	j a
21	tym	3794360	3622.4219	6.559	t ɨ m
22	go	3770258	3599.4121	6.5562	ɡ ɔ
23	ci	3769045	3598.2541	6.5561	t͡ɕ i
24	tego	3732004	3562.8915	6.5518	t ɛ ɡ ɔ
25	tu	3669196	3502.9296	6.5444	t u
26	tylko	3531006	3371.0016	6.5278	t ɨ l k ɔ
27	po	3529267	3369.3414	6.5275	p ɔ
28	może	3477882	3320.2849	6.5212	m ɔ ʐ ɛ
29	czy	3435052	3279.3957	6.5158	t͡ʂ ɨ
30	ty	3406404	3252.0458	6.5122	t ɨ
31	ma	3389155	3235.5784	6.51	m a
32	cię	3379083	3225.9628	6.5087	t͡ɕ ɛ
33	jestem	3372946	3220.1039	6.5079	j ɛ s t ɛ m
34	mam	3177475	3033.4905	6.4819	m a m
35	już	3172194	3028.4488	6.4812	j u ʂ
36	jesteś	3082442	2942.7639	6.4688	j ɛ s t ɛ ɕ
37	jeśli	2907450	2775.7015	6.4434	j ɛ ɕ l i
