Rank	Bigram	Frequency	Frequency per million	Zipf value
1	o$	285077913	40048.9645	7.6026
2	e$	227494770	31959.4383	7.5046
3	a$	224878691	31591.9203	7.4996
4	^e	144883209	20353.8128	7.3086
5	s$	143273808	20127.7173	7.3038
6	^a	109506386	15383.9254	7.1871
7	^d	104973517	14747.1286	7.1687
8	^p	99825678	14023.9382	7.1469
9	m$	95578430	13427.2666	7.128
10	es	93471108	13131.221	7.1183
11	^s	92549058	13001.6875	7.114
12	r$	92038899	12930.0182	7.1116
13	^c	88362247	12413.5064	7.0939
14	qu	87470523	12288.2332	7.0895
15	ar	85519911	12014.2029	7.0797
16	de	85073857	11951.5393	7.0774
17	er	80364010	11289.8798	7.0527
18	^m	79475848	11165.107	7.0479
19	^n	79417103	11156.8543	7.0475
20	ra	76762722	10783.9555	7.0328
21	ue	70823890	9949.643	6.9978
22	os	70046518	9840.4344	6.993
23	^q	68957784	9687.4844	6.9862
24	do	67439391	9474.1741	6.9765
25	te	67182933	9438.1458	6.9749
26	^o	66189381	9298.5673	6.9684
27	^v	65383806	9185.3967	6.9631
28	en	65055661	9139.2975	6.9609
29	co	62933179	8841.1221	6.9465
30	ão	61758937	8676.1596	6.9383
31	^t	60339928	8476.8112	6.9282
32	u$	60125448	8446.6801	6.9267
33	se	59731807	8391.3797	6.9238
34	em	55346178	7775.2678	6.8907
35	or	55324461	7772.2169	6.8905
36	nt	55260126	7763.1788	6.89
37	st	55214145	7756.7192	6.8897
38	ma	54450868	7649.4908	6.8836
39	as	54331188	7632.6777	6.8827
40	re	53893825	7571.235	6.8792
41	to	49744004	6988.2504	6.8444
42	ta	49451182	6947.1135	6.8418
43	me	47918459	6731.7901	6.8281
44	an	47748798	6707.9554	6.8266
45	is	47044565	6609.0217	6.8201
46	^f	46120944	6479.2675	6.8115
47	da	42754317	6006.3093	6.7786
48	el	42391621	5955.3562	6.7749
49	ss	42020030	5903.1535	6.7711
50	mo	40714798	5719.789	6.7574
51	po	39271396	5517.0137	6.7417
52	vo	38985020	5476.7823	6.7385
53	eu	38857120	5458.8144	6.7371
54	in	38623060	5425.9327	6.7345
55	am	38104535	5353.088	6.7286
56	nã	37718707	5298.8853	6.7242
57	i$	37286765	5238.2042	6.7192
58	al	37193612	5225.1177	6.7181
59	sa	36563644	5136.6171	6.7107
60	ca	36162063	5080.2013	6.7059
61	nd	36122538	5074.6486	6.7054
62	om	35917348	5045.8227	6.7029
63	so	35778062	5026.2552	6.7012
64	um	35747500	5021.9617	6.7009
65	pa	35539021	4992.6737	6.6983
66	ad	34624127	4864.1454	6.687
67	ri	33583292	4717.9245	6.6738
68	ro	33303459	4678.6124	6.6701
69	on	32781645	4605.3057	6.6633
70	^u	32454340	4559.3245	6.6589
71	ou	31561912	4433.9524	6.6468
72	oc	31400359	4411.2567	6.6446
73	le	31247462	4389.7771	6.6424
74	ia	30433825	4275.4739	6.631
75	ei	29858632	4194.6683	6.6227
76	^i	29407566	4131.3006	6.6161
77	ve	29360865	4124.7399	6.6154
78	é$	29119362	4090.8125	6.6118
79	pe	28462751	3998.569	6.6019
80	á$	27531759	3867.7793	6.5875
81	di	27180339	3818.4103	6.5819
82	la	26713324	3752.802	6.5744
83	^é	26628833	3740.9323	6.573
84	^b	26382758	3706.3627	6.5689
85	ê$	26293733	3693.8561	6.5675
86	no	26227197	3684.5088	6.5664
87	pr	25422694	3571.4888	6.5528
88	cê	25199166	3540.0866	6.549
89	ho	24380035	3425.0116	6.5347
90	na	24151652	3392.9274	6.5306
91	ha	24104124	3386.2504	6.5297
92	nh	23875452	3354.1256	6.5256
93	im	23580481	3312.6868	6.5202
94	tr	23080677	3242.4722	6.5109
95	ir	22844144	3209.2431	6.5064
96	va	22756567	3196.9399	6.5047
