Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	não	37538653	28592.4256	7.4563	n ũ  |  n ɐ̃ w̃
2	a	27552331	20986.048	7.3219	a
3	é	26340608	20063.1034	7.3024	ɛ
4	você	22965188	17492.1149	7.2428	s e  |  v o s e
5	e	21927494	16701.7245	7.2228	e  |  i  |  ɛ
6	eu	20607261	15696.13	7.1958	e w
7	um	17343485	13210.1785	7.1209	ũ
8	para	14420964	10984.1539	7.0408	p a ɾ ɐ
9	por	10351463	7884.498	6.8968	p o ʁ  |  p u ʁ
10	isso	10090996	7686.1056	6.8857	i s u
11	em	9134847	6957.8265	6.8425	ĩ  |  ẽ j̃
12	do	8657092	6593.9302	6.8191	d u
13	os	6102661	4648.2723	6.6673	o s  |  u s
14	no	5959537	4539.2577	6.657	n u
15	ela	5631520	4289.4138	6.6324	ɛ l ɐ
16	sim	5413204	4123.127	6.6152	s ĩ
17	meu	4973300	3788.0611	6.5784	m e w
18	seu	4846895	3691.781	6.5672	s e w
19	foi	4709370	3587.031	6.5547	f o j
20	muito	4612063	3512.9142	6.5457	m ũ j̃ t u
21	vai	4533353	3452.9624	6.5382	v a j
22	sua	4510408	3435.4857	6.536	s u ɐ
23	tudo	4194474	3194.8452	6.5044	t u d o  |  t u d u
24	só	3791953	2888.2532	6.4606	s ɔ
25	vou	3379955	2574.4427	6.4107	v o w
26	quando	3189660	2429.4989	6.3855	k w ɐ̃ d u
27	nós	2894967	2205.0373	6.3434	n ɔ s
28	te	2884003	2196.6862	6.3418	t e  |  t i  |  t ɪ  |  t͡ʃ i
29	já	2700895	2057.2166	6.3133	ʒ a
30	quem	2610451	1988.3272	6.2985	k ẽ j̃
31	era	2581065	1965.9445	6.2936	ɛ ɾ ɐ
32	ao	2536983	1932.3682	6.2861	a w
33	ou	2517376	1917.4339	6.2827	o w
34	lá	2483746	1891.8186	6.2769	l a
35	há	2477423	1887.0025	6.2758	a
36	quero	2394981	1824.2081	6.2611	k ɛ ɾ u
37	sou	2379515	1812.428	6.2583	s o w
38	bom	2313505	1762.1495	6.246	b õ
39	são	2280341	1736.8892	6.2398	s ɐ̃ w̃
40	posso	2265740	1725.7679	6.237	p ɔ s u
41	mim	2238220	1704.8065	6.2317	m ĩ
42	acho	2191844	1669.4828	6.2226	a ʃ u
43	sobre	2156503	1642.5643	6.2155	s o b ɾ e  |  s o b ɾ i  |  s ɔ b ɾ i
44	porque	2090793	1592.5143	6.2021	p o ɹ k e  |  p o ɾ k e  |  p u ɻ k e  |  p u ʁ k e
45	coisa	2023110	1540.9616	6.1878	k o j z ɐ
46	quê	1919568	1462.0958	6.165	k e
47	tempo	1906210	1451.9212	6.1619	t ẽ p u
48	nunca	1880180	1432.0947	6.156	n ũ k ɐ
49	à	1865236	1420.7122	6.1525	a
50	vocês	1847103	1406.9006	6.1483	s e j s  |  v o s e j s  |  v o s e j ʃ
51	essa	1816126	1383.3061	6.1409	ɛ s ɐ
52	casa	1786625	1360.8358	6.1338	k a z ɐ
53	pra	1714842	1306.1601	6.116	p ɾ a
54	cara	1709503	1302.0935	6.1146	k a ɾ ɐ
55	tão	1591945	1212.552	6.0837	t ɐ̃ w̃
56	pai	1513075	1152.4783	6.0616	p a j
57	alguém	1454428	1107.8081	6.0445	a w ɡ ẽ j̃
58	dele	1384965	1054.8996	6.0232	d e l e  |  d e l i
59	mãe	1366562	1040.8824	6.0174	m ɐ̃ j̃
60	verdade	1321592	1006.6296	6.0029	v e ɦ d a d͡ʒ i  |  v e ɹ d a d i  |  v e ɹ d a d͡ʒ i  |  v e ɾ d a d e  |  v e ʁ d a d ʒ i  |  v ɛ x d a d i
61	parece	1284054	978.0377	5.9904	p a ɾ ɛ s i
62	ficar	1282033	976.4984	5.9897	f i k a ɹ  |  f i k a ɾ  |  f i k a ʁ
63	claro	1254589	955.5948	5.9803	k l a ɾ o  |  k l a ɾ u
64	depois	1229893	936.7844	5.9716	d e p o j s
65	pelo	1220428	929.5751	5.9683	p e l o  |  p e l u  |  p i l u  |  p ɛ l u
66	pouco	1154820	879.6028	5.9443	p o w k u
67	deve	1153801	878.8267	5.9439	d ɛ v i
68	acha	1131929	862.1672	5.9356	a ʃ ɐ
69	disso	1089593	829.9207	5.919	d͡ʒ i s o  |  d͡ʒ i s u
70	fora	1069370	814.5173	5.9109	f o ɾ ɐ  |  f ɔ ɾ ɐ
