Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	a	21955049	35206.6933	7.5466	a
2	não	17867592	28652.126	7.4572	n ɐ̃ w̃
3	é	12178746	19529.6023	7.2907	ɛ
4	e	10249320	16435.6119	7.2158	e  |  i  |  ɛ
5	um	7792175	12495.3816	7.0967	ũ
6	para	7210808	11563.1127	7.0631	p a ɾ ɐ  |  p ɐ ɾ ɐ
7	eu	6260643	10039.4464	7.0017	e w
8	do	4494634	7207.5084	6.8578	d u
9	por	4230369	6783.7382	6.8315	p o ɾ  |  p u ɾ
10	os	3814581	6116.9885	6.7865	u ʃ
11	em	3631248	5822.9993	6.7651	ɐ̃ j̃
12	isso	3437307	5511.9992	6.7413	i s u
13	sim	2834301	4545.0304	6.6575	s ĩ
14	no	2668685	4279.4518	6.6314	n u
15	meu	2476861	3971.8465	6.599	m e w
16	muito	2133117	3420.6253	6.5341	m ũ j̃ t u
17	foi	2116496	3393.9722	6.5307	f o j
18	ela	2041666	3273.9762	6.5151	ɛ l ɐ
19	já	1852420	2970.505	6.4728	ʒ a
20	vai	1782596	2858.5366	6.4561	v a j
21	à	1741545	2792.708	6.446	a
22	ao	1697202	2721.6004	6.4348	a w
23	só	1696602	2720.6383	6.4347	s ɔ
24	te	1695074	2718.188	6.4343	t ɨ
25	tudo	1642757	2634.2935	6.4207	t u ð u  |  t y ð u
26	tu	1626379	2608.03	6.4163	t u
27	há	1600491	2566.5165	6.4093	a
28	vou	1566481	2511.9787	6.4	v o w
29	porque	1551241	2487.5402	6.3958	p u ɾ k ɨ
30	lá	1481325	2375.4242	6.3757	l a
31	quando	1480237	2373.6795	6.3754	k w ɐ̃ d u
32	quem	1304688	2092.1725	6.3206	k ɐ̃ j̃
33	você	1238555	1986.1229	6.298	v ɔ s e
34	era	1230642	1973.4338	6.2952	ɛ ɾ ɐ
35	coisa	1217100	1951.7181	6.2904	k o j z ɐ
36	ou	1187157	1903.7021	6.2796	o w
37	sou	1124271	1802.8593	6.256	s o w
38	são	1115969	1789.5464	6.2527	s ɐ̃ w̃
39	quero	1105429	1772.6446	6.2486	k ɛ ɾ u
40	seu	1029342	1650.633	6.2177	s e w
41	nós	993085	1592.492	6.2021	n ɔ ʃ
42	mim	972731	1559.8527	6.1931	m ĩ
43	tua	964361	1546.4307	6.1893	t u ɐ
44	sua	961748	1542.2405	6.1882	s u ɐ
45	posso	946482	1517.7603	6.1812	p ɔ s u
46	bom	939741	1506.9505	6.1781	b õ
47	teu	935790	1500.6148	6.1763	t e w
48	nunca	924259	1482.1239	6.1709	n ũ k ɐ
49	casa	922137	1478.7211	6.1699	k a z ɐ
50	tempo	854159	1369.7129	6.1366	t ẽ p u
51	acho	845225	1355.3865	6.1321	a ʃ u
52	pai	821587	1317.4811	6.1197	p a j
53	quê	801070	1284.5804	6.1088	k e
54	sobre	770310	1235.2543	6.0918	s o b ɾ ɨ  |  s ɔ b ɾ ɨ
55	tão	730171	1170.8881	6.0685	t ɐ̃ w̃
56	depois	725390	1163.2214	6.0657	d ɨ p o j ʃ
57	mãe	711640	1141.1722	6.0574	m ɐ̃ j̃
58	olá	702470	1126.4673	6.0517	ɔ l a
59	alguém	675027	1082.4603	6.0344	a ɫ ɡ ɐ̃ j̃
60	alguma	662185	1061.8671	6.0261	a ɫ ɣ u m ɐ
61	dele	659399	1057.3995	6.0242	d e l ɨ
62	pelo	577968	926.8183	5.967	p e l u  |  p ɛ l u  |  p ɨ l u
63	ficar	569316	912.9442	5.9604	f i k a ɾ
64	parece	552633	886.1916	5.9475	p ɐ ɾ ɛ s ɨ
65	claro	544375	872.9493	5.941	k l a ɾ u
66	verdade	526152	843.7272	5.9262	v ɨ ɾ d a d ɨ
67	ninguém	502625	805.9998	5.9063	n ĩ ɡ ɐ̃ j̃  |  n ĩ ɡ ẽ j̃
68	espera	490725	786.9171	5.8959	ɨ ʃ p ɛ ɾ ɐ
69	vocês	488137	782.7671	5.8936	v ɔ s e ʃ
70	vão	481800	772.6052	5.888	v ɐ̃ w̃
71	outra	474865	761.4844	5.8817	o w t ɾ ɐ
72	essa	449815	721.3147	5.8581	ɛ s ɐ
73	pela	436883	700.5772	5.8455	p e l ɐ  |  p ɛ l ɐ
74	pouco	426812	684.4275	5.8353	p o w k u
75	cá	419493	672.6909	5.8278	k a
76	desculpa	417565	669.5992	5.8258	d ɨ ʃ k u ɫ p ɐ
77	num	416927	668.5761	5.8252	n ũ
78	disso	416349	667.6492	5.8245	d i s u
79	vá	412154	660.9222	5.8202	v a
80	filho	410455	658.1977	5.8184	f i ʎ u
81	daqui	410027	657.5114	5.8179	d ɐ k i
82	fora	395624	634.415	5.8024	f o ɾ ɐ  |  f ɔ ɾ ɐ
83	olha	392532	629.4567	5.799	o ʎ ɐ  |  ɔ ʎ ɐ
84	deve	389710	624.9314	5.7958	d ɛ v ɨ
85	nosso	388859	623.5668	5.7949	n ɔ s u
86	dela	388171	622.4635	5.7941	d ɛ l ɐ
87	nossa	378098	606.3107	5.7827	n ɔ s ɐ
88	certeza	364830	585.0344	5.7672	s ɨ ɾ t e z ɐ
89	outro	361849	580.2541	5.7636	o w t ɾ u
90	tentar	356298	571.3526	5.7569	t ẽ t a ɾ
91	quanto	350767	562.4832	5.7501	k w ɐ̃ t u
92	mundo	345092	553.3829	5.743	m ũ d u
93	passa	339951	545.1389	5.7365	p a s ɐ
94	embora	338658	543.0654	5.7349	ẽ b ɔ ɾ ɐ
95	numa	331120	530.9776	5.7251	n u m ɐ
96	carro	328653	527.0216	5.7218	k a r u  |  k a ʁ u  |  k a ʁ ɯ̥̽
97	dentro	311182	499.0055	5.6981	d ẽ t ɾ u
98	novo	308270	494.3358	5.694	n o v u
99	voltar	303178	486.1704	5.6868	v ɔ ɫ t a ɾ
100	anda	301360	483.2551	5.6842	ɐ̃ d ɐ
101	obrigada	293863	471.233	5.6732	ɔ β ɾ i ɣ a ð ɐ
102	algum	290486	465.8177	5.6682	a ɫ ɣ ũ
103	homens	275417	441.6534	5.6451	ɔ m ɐ̃ j̃ ʃ
104	fui	271802	435.8564	5.6393	f u j
105	hora	265424	425.6288	5.629	ɔ ɾ ɐ
106	vi	265228	425.3145	5.6287	v i
107	si	264164	423.6083	5.627	s i
108	polícia	263352	422.3062	5.6256	p u l i s j ɐ
109	atrás	257090	412.2646	5.6152	ɐ t ɾ a ʃ
110	uns	253206	406.0363	5.6086	ũ ʃ
111	pronto	250492	401.6841	5.6039	p ɾ õ t u
112	devia	250440	401.6008	5.6038	d ɨ v i ɐ
113	fica	248951	399.213	5.6012	f i k ɐ
114	caso	238332	382.1846	5.5823	k a z u
115	pessoa	236552	379.3302	5.579	p ɛ s o a
116	momento	235588	377.7844	5.5772	m u m ẽ t u
117	encontrar	232259	372.4461	5.5711	ẽ k õ t ɾ a ɾ
118	foram	227220	364.3656	5.5615	f o ɾ ɐ̃ w̃
119	entrar	224814	360.5074	5.5569	ẽ t ɾ a ɾ
120	ia	223825	358.9215	5.555	i ɐ
121	nova	216461	347.1127	5.5405	n ɔ v ɐ
122	tanto	214311	343.665	5.5361	t ɐ̃ t u
123	matar	214137	343.386	5.5358	m ɐ t a ɾ
124	história	212749	341.1602	5.533	i ʃ t ɔ ɾ j ɐ
125	contra	209676	336.2324	5.5266	k õ t ɾ ɐ
126	morte	206819	331.651	5.5207	m ɔ ɾ t ɨ
127	medo	206175	330.6183	5.5193	m e d u
128	maneira	205428	329.4204	5.5178	m ɐ n ɐ j ɾ ɐ
129	enquanto	202627	324.9288	5.5118	ẽ k w ɐ̃ t u
130	ouvir	200126	320.9182	5.5064	o w β i ɾ
131	desta	198354	318.0766	5.5025	d ɛ ʃ t ɐ
132	arma	197681	316.9974	5.5011	a ɾ m ɐ
133	neste	196516	315.1293	5.4985	n e ʃ t ɨ
134	acontecer	195839	314.0436	5.497	a k õ t ɛ s e h
135	primeira	195616	313.686	5.4965	p ɾ i m ɐ j ɾ ɐ
136	lamento	194852	312.4609	5.4948	l ɐ m ẽ t u
137	alguns	193855	310.8621	5.4926	a ɫ ɣ ũ ʃ
138	sorte	190091	304.8263	5.4841	s ɔ ɾ t ɨ
139	sinto	189741	304.265	5.4833	s ĩ t u
140	causa	185150	296.903	5.4726	k a w z ɐ
141	conta	185100	296.8228	5.4725	k õ t ɐ
142	cara	184290	295.5239	5.4706	k a ɾ ɐ
143	filha	184037	295.1182	5.47	f i ʎ ɐ
144	cuidado	182817	293.1618	5.4671	k u j ð a ð u  |  k w i ð a ð u
145	sangue	179422	287.7177	5.459	s ɐ̃ ɡ ɨ
146	acha	177739	285.0188	5.4549	a ʃ ɐ
147	única	177228	284.1994	5.4536	u n i k ɐ
148	poder	174167	279.2908	5.4461	p ɔ d e h
149	juntos	174092	279.1706	5.4459	ʒ ũ t u ʃ
150	adeus	172623	276.8149	5.4422	ɐ ð e w ʃ
151	faço	172616	276.8037	5.4422	f a s u
152	difícil	166624	267.195	5.4268	d i f i s i ɫ  |  d ɨ f i s i ɫ
153	começar	165393	265.221	5.4236	k u m ɨ s a ɾ
154	fala	165197	264.9067	5.4231	f a l ɐ
155	algumas	164869	264.3807	5.4222	a ɫ ɣ u m ɐ ʃ
156	cinco	163111	261.5617	5.4176	s ĩ k u
157	acabou	162530	260.63	5.416	ɐ k ɐ β o w
158	procura	159761	256.1897	5.4086	p ɾ ɔ k u ɾ ɐ
159	umas	157979	253.3321	5.4037	u m ɐ ʃ
160	segurança	157765	252.9889	5.4031	s ɨ ɣ u ɾ ɐ̃ s ɐ
161	altura	156967	251.7093	5.4009	a ɫ t u ɾ ɐ
162	nisso	154843	248.3032	5.395	n i s u
163	baixo	153649	246.3886	5.3916	b a j ʃ u
164	dá	153364	245.9316	5.3908	d a
165	vossa	151891	243.5695	5.3866	v ɔ s ɐ
166	fim	151794	243.4139	5.3863	f ĩ
167	mão	150156	240.7873	5.3816	m ɐ̃ w̃
168	deste	150140	240.7616	5.3816	d e ʃ t ɨ
169	dormir	146840	235.4698	5.3719	d u ɾ m i ɾ
