Rank	Bigram	Frequency	Frequency per million	Zipf value
1	e$	211460680	39429.9793	7.5958
2	i$	159547841	29750.0607	7.4735
3	a$	139987122	26102.6746	7.4167
4	^c	107912016	20121.7955	7.3037
5	^a	107761309	20093.6939	7.3031
6	ă$	100731308	18782.846	7.2738
7	^s	98977370	18455.7983	7.2661
8	^d	92987345	17338.8693	7.239
9	u$	77003651	14358.4725	7.1571
10	re	72820125	13578.3921	7.1328
11	^p	71559809	13343.3875	7.1253
12	t$	68016137	12682.6173	7.1032
13	te	63643900	11867.3489	7.0744
14	^n	57728908	10764.4109	7.032
15	^m	57200270	10665.8385	7.028
16	in	57150038	10656.472	7.0276
17	de	56325678	10502.7579	7.0213
18	ar	55382650	10326.9163	7.014
19	^t	48684096	9077.8716	6.958
20	st	47371448	8833.1089	6.9461
21	un	46434901	8658.4758	6.9374
22	at	45482912	8480.9634	6.9284
23	n$	45360791	8458.1921	6.9273
24	^e	44894212	8371.1915	6.9228
25	ce	44008114	8205.9654	6.9141
26	nt	40970923	7639.6361	6.8831
27	m$	40707736	7590.561	6.8803
28	^f	40546054	7560.413	6.8785
29	l$	40318929	7518.0622	6.8761
30	nu	40232411	7501.9296	6.8752
31	^î	39558833	7376.331	6.8678
32	ne	39161532	7302.2483	6.8635
33	ul	37929764	7072.5669	6.8496
34	ti	37695853	7028.9507	6.8469
35	ta	37341746	6962.9222	6.8428
36	ea	36821591	6865.9316	6.8367
37	^v	36120400	6735.1842	6.8283
38	ri	35501600	6619.7997	6.8208
39	^l	34961131	6519.0213	6.8142
40	er	34641169	6459.3596	6.8102
41	cu	33873972	6316.3044	6.8005
42	să	33608582	6266.8185	6.797
43	tr	33383148	6224.7829	6.7941
44	ai	32749508	6106.6314	6.7858
45	în	32224167	6008.6738	6.7788
46	r$	32191999	6002.6756	6.7783
47	ca	32180307	6000.4954	6.7782
48	le	31849890	5938.8843	6.7737
49	ac	30968238	5774.4872	6.7615
50	am	29970170	5588.3826	6.7473
51	or	29226505	5449.7152	6.7364
52	^o	28653188	5342.8118	6.7278
53	es	27782397	5180.4399	6.7144
54	că	27459255	5120.1853	6.7093
55	pe	27268899	5084.6906	6.7063
56	ţi	26967980	5028.5798	6.7014
57	ra	26489668	4939.3914	6.6937
58	ci	26144006	4874.9376	6.688
59	mi	25954450	4839.5921	6.6848
60	ma	25936897	4836.319	6.6845
61	en	25853308	4820.7326	6.6831
62	as	25547118	4763.639	6.6779
63	da	25300792	4717.7078	6.6737
64	ic	25291346	4715.9465	6.6736
65	o$	25125918	4685.1	6.6707
66	la	24944920	4651.3502	6.6676
67	ie	24214298	4515.1149	6.6547
68	me	23762145	4430.8043	6.6465
69	ni	23358410	4355.5219	6.639
70	it	22850581	4260.8297	6.6295
71	^u	22552792	4205.3025	6.6238
72	^b	22307391	4159.5438	6.619
73	oa	21752890	4056.1489	6.6081
74	el	21729711	4051.8268	6.6077
75	^i	20406236	3805.0453	6.5804
76	ru	20221891	3770.6714	6.5764
77	an	20149897	3757.2471	6.5749
78	pr	20017176	3732.4993	6.572
79	^ş	19991754	3727.759	6.5714
80	^r	19368263	3611.4998	6.5577
81	ur	18870139	3518.6172	6.5464
82	ut	18780892	3501.9758	6.5443
83	al	17987737	3354.0803	6.5256
84	ui	17938497	3344.8988	6.5244
85	pu	17881268	3334.2276	6.523
86	ia	17674950	3295.7565	6.518
87	im	17459855	3255.6489	6.5126
88	tă	17456119	3254.9522	6.5125
89	şi	17260153	3218.4115	6.5076
90	to	17232449	3213.2456	6.5069
91	-a	17127520	3193.6801	6.5043
92	um	17127312	3193.6413	6.5043
93	tu	16763563	3125.8149	6.495
94	lu	16712309	3116.2578	6.4936
95	s$	16359343	3050.4421	6.4844
96	se	16145291	3010.5289	6.4786
97	si	15854586	2956.3227	6.4708
98	su	15735312	2934.0822	6.4675
99	şt	15696313	2926.8103	6.4664
100	nd	15553107	2900.1074	6.4624
101	co	15551169	2899.7461	6.4624
102	di	15447796	2880.4706	6.4595
103	c$	15005074	2797.9185	6.4468
104	sc	14800626	2759.7962	6.4409
105	na	14484920	2700.9281	6.4315
106	po	14376756	2680.7593	6.4283
107	ec	14334012	2672.7891	6.427
108	sa	14110797	2631.1673	6.4201
109	ii	13932798	2597.9768	6.4146
110	sp	13792403	2571.7981	6.4102
111	ră	13785429	2570.4976	6.41
112	il	13544846	2525.6374	6.4024
113	ro	13303729	2480.6775	6.3946
114	ve	13251427	2470.9251	6.3929
115	bi	13247426	2470.179	6.3927
116	au	13243725	2469.4889	6.3926
117	va	12933931	2411.7232	6.3823
118	os	12920051	2409.1351	6.3819
119	fi	12810783	2388.7604	6.3782
120	ei	12621923	2353.5447	6.3717
121	em	12505478	2331.8318	6.3677
122	on	12274863	2288.8302	6.3596
123	bu	12247430	2283.7149	6.3586
124	fa	11982416	2234.2991	6.3491
125	ân	11918214	2222.3277	6.3468
126	lo	11910606	2220.9091	6.3465
127	pa	11909059	2220.6206	6.3465
128	d$	11781487	2196.8329	6.3418
129	nc	11726723	2186.6214	6.3398
130	^g	11657043	2173.6285	6.3372
131	li	11646498	2171.6622	6.3368
132	is	10935468	2039.0802	6.3094
133	zi	10861139	2025.2204	6.3065
134	do	10774738	2009.1097	6.303
135	vo	10656470	1987.0568	6.2982
136	mă	10620323	1980.3167	6.2967
137	cr	10533698	1964.1642	6.2932
138	iu	10485913	1955.254	6.2912
