Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	je	29916243	37149.7277	7.57	j e
2	ne	14925625	18534.51	7.268	n e
3	se	14861247	18454.5659	7.2661	s e
4	i	13250175	16453.9509	7.2163	i
5	u	12935469	16063.1517	7.2058	u
6	na	7343455	9119.0379	6.9599	n a
7	ti	7127086	8850.3528	6.947	t îː
8	mi	6287561	7807.838	6.8925	m îː
9	si	6233839	7741.1265	6.8888	s i
10	za	6074997	7543.8779	6.8776	z a
11	li	5627423	6988.0844	6.8444	l i
12	šta	5277313	6553.3209	6.8165	ʃ t â
13	što	5069662	6295.4617	6.799	ʃ t ô
14	ja	4832909	6001.4639	6.7783	j â  |  j âː
15	ali	4194285	5208.4263	6.7167	â l i
16	samo	3331881	4137.5005	6.6167	s â m o
17	od	3246233	4031.1436	6.6054	ô d
18	kako	2968721	3686.5316	6.5666	k â k o  |  k ǎ k o
19	dobro	2724960	3383.8314	6.5294	d ǒ b r o
20	ako	2659974	3303.1323	6.5189	â k o
21	sve	2600444	3229.2085	6.5091	s ʋ ê
22	kao	2514816	3122.8764	6.4946	k â o
23	tako	2287451	2840.5366	6.4534	t ǎ k oː
24	nisam	2041317	2534.8895	6.404	n ǐː s a m
25	ovde	1982508	2461.861	6.3913	ǒː ʋ d e
26	bio	1891506	2348.8555	6.3709	b î o
27	pa	1850448	2297.8701	6.3613	p a
28	zašto	1805278	2241.7784	6.3506	z â ʃ t o
29	još	1803337	2239.368	6.3501	j ô ʃ
30	on	1777245	2206.9672	6.3438	ôː n
31	nešto	1777033	2206.704	6.3437	n ê ʃ t o
32	s	1716106	2131.0453	6.3286	s
33	bilo	1684965	2092.3747	6.3206	b î l o
34	biti	1623620	2016.197	6.3045	b î t i
35	koji	1608412	1997.3119	6.3004	k ǒ j iː
36	vas	1547594	1921.7886	6.2837	ʋ âː s
37	kad	1466060	1820.5404	6.2602	k â d  |  k âː d
38	hvala	1449971	1800.5612	6.2554	x ʋ ǎː l a
39	iz	1436403	1783.7126	6.2513	i z
40	ih	1377682	1710.7934	6.2332	i x
41	ili	1348100	1674.0587	6.2238	i l i
42	sada	1315289	1633.3143	6.2131	s â d a
43	možda	1297487	1611.208	6.2072	m ǒ ʒ d a
44	više	1294879	1607.9694	6.2063	ʋ î ʃ e  |  ʋ î ʃ eː
45	gde	1266929	1573.2613	6.1968	ɡ d ê
46	do	1253026	1555.9967	6.192	d ô  |  d ôː
47	onda	1249319	1551.3934	6.1907	ô n d aː
48	moj	1237571	1536.8048	6.1866	m ôː j
49	treba	1229345	1526.5898	6.1837	t r ěː b a
50	zar	1222030	1517.5061	6.1811	z â r  |  z âː r
51	kada	1178909	1463.9588	6.1655	k ǎ d a  |  k ǎː d a
52	nas	1173526	1457.2743	6.1635	n âː s
53	је	1158740	1438.9131	6.158	j e
54	ništa	1135811	1410.4401	6.1494	n î ʃ t a
55	malo	1133763	1407.8969	6.1486	m â l o
56	ko	1115685	1385.4478	6.1416	k ô
57	mene	1113792	1383.0971	6.1409	m ê n e
58	hajde	1064530	1321.924	6.1212	x ǎ j d e
59	ona	1047328	1300.5627	6.1141	ǒ n a
60	tebe	1044318	1296.8249	6.1129	t ê b e
61	tamo	1011078	1255.5478	6.0988	t â m o
62	sad	999016	1240.5693	6.0936	s â d  |  s âː d
63	može	964264	1197.4146	6.0782	m o ʒ e
64	zbog	922586	1145.6592	6.0591	z b ô ɡ
65	vi	920808	1143.4513	6.0582	ʋ îː
66	hej	882053	1095.3257	6.0395	ɦ ɛ j
67	stvarno	835250	1037.2061	6.0159	s t ʋ âː r n o
68	po	830557	1031.3784	6.0134	p ô  |  p ôː
69	ljudi	821608	1020.2656	6.0087	ʎ ûː d i
70	zato	807838	1003.1661	6.0014	z ǎ t oː
71	baš	804214	998.6659	5.9994	b â ʃ
72	jer	796837	989.5052	5.9954	j ê r
73	moram	794274	986.3225	5.994	m ôː r aː m
74	koliko	791736	983.1708	5.9926	k o l ǐ k o
75	jedan	756806	939.795	5.973	j ě d a n
76	pre	726346	901.9701	5.9552	p r ê
77	nego	705966	876.6624	5.9428	n ê ɡ o
78	dok	689353	856.0325	5.9325	d ô k
79	bez	682500	847.5225	5.9282	b ê z
80	ono	647070	803.5258	5.905	ǒ n o
81	toga	639150	793.6909	5.8997	t ǒː ɡ a
82	naravno	636017	789.8003	5.8975	n ǎː r a ʋ n o
83	ovaj	628553	780.5316	5.8924	ǒ ʋ aː j
84	neko	619962	769.8634	5.8864	n ê k o  |  n ê k oː
85	taj	612857	761.0404	5.8814	t âː j
86	tvoj	611515	759.374	5.8805	t ʋ ôː j
87	oni	611210	758.9952	5.8802	ǒ n i
88	vreme	602928	748.7107	5.8743	ʋ r ěː m e
89	mnogo	602265	747.8874	5.8738	m n ô ɡ o
90	joj	597197	741.594	5.8702	j o j  |  j ôː j
91	zdravo	580931	721.395	5.8582	z d r â ʋ o
92	не	578628	718.5352	5.8564	n e
93	kod	576447	715.8268	5.8548	k ô d  |  k ôː d
94	žao	570721	708.7163	5.8505	ʒ â o
95	posao	566735	703.7665	5.8474	p ǒ s a o
96	nikad	562580	698.6069	5.8442	n î k a d
97	се	559681	695.0069	5.842	s e
98	bolje	550348	683.4173	5.8347	b ô ʎ eː
99	godina	550136	683.1541	5.8345	ɡ ô d i n a
100	put	548755	681.4391	5.8334	p û t  |  p ûː t
101	mora	541939	672.9751	5.828	m ô r a  |  m ôː r a  |  m ǒː r a
102	radi	537506	667.4702	5.8244	r â d i
103	dan	527172	654.6376	5.816	d âː n
104	ovdje	521576	647.6885	5.8114	ǒː ʋ d j e
105	и	518014	643.2652	5.8084	i
106	у	515491	640.1322	5.8063	u
107	meni	501045	622.1933	5.7939	m ê n i  |  m ě n iː
108	dobar	481217	597.571	5.7764	d ô b a r
109	mama	479031	594.8565	5.7744	m â m a
110	im	475219	590.1228	5.7709	i m
111	g	474550	589.292	5.7703	ɡ
112	život	461741	573.3859	5.7584	ʒ ǐ ʋ o t
113	tata	459701	570.8527	5.7565	t â t a
114	dva	455160	565.2137	5.7522	d ʋ âː
115	njega	449456	558.1305	5.7467	ɲ ê ɡ a
116	nisu	440175	546.6054	5.7377	n ǐː s u
117	nikada	438969	545.1078	5.7365	n î k a d a
118	odmah	418209	519.3283	5.7154	ô d m aː x
119	danas	418010	519.0811	5.7152	d ǎ n a s
120	ime	396436	492.2907	5.6922	î m e
121	tri	390611	485.0573	5.6858	t r îː
122	toliko	390566	485.0014	5.6857	t o l ǐ k oː
123	tobom	385352	478.5267	5.6799	t ô b oː m
124	neki	383395	476.0965	5.6777	n ê k iː
125	niko	364850	453.0675	5.6562	n î k o
126	veoma	364182	452.238	5.6554	ʋ ě o m a
127	upravo	357827	444.3464	5.6477	u p r a ʋ o
128	oko	355022	440.8632	5.6443	ô k o
129	mnom	350185	434.8567	5.6383	m n ôː m
130	god	345290	428.7781	5.6322	ɡ ôː d
131	žena	342808	425.696	5.6291	ʒ ě n a
132	gdje	340778	423.1751	5.6265	ɡ d j ê
133	opet	339394	421.4565	5.6248	ô p eː t
134	nismo	338573	420.437	5.6237	n ǐː s m o
135	jednom	337840	419.5267	5.6228	j ě d n oː m
136	sranje	334855	415.82	5.6189	s r ǎː ɲ e
137	sigurno	331604	411.7829	5.6147	s î ɡ uː r n o
138	tebi	330008	409.801	5.6126	t ê b i
139	otac	328249	407.6167	5.6103	ǒ t a t͡s
140	puno	322533	400.5186	5.6026	p û n o
141	puta	318496	395.5055	5.5972	p û t a  |  p ǔː t aː
142	dovoljno	314030	389.9597	5.591	d ô ʋ oː ʎ n o
143	odavde	313254	388.9961	5.5899	ô d aː ʋ d e
144	lepo	311423	386.7223	5.5874	l êː p o
145	prvi	308262	382.797	5.583	p r̩̂ː ʋ iː  |  p ř̩ ʋ iː
146	jako	305907	379.8726	5.5796	j âː k o
147	novac	301445	374.3318	5.5733	n ǒ ʋ a t͡s
148	sutra	301157	373.9741	5.5728	s û t r a
149	ovamo	301095	373.8971	5.5728	ǒ ʋ aː m o
150	njih	300401	373.0353	5.5717	ɲ îː x
151	koga	299301	371.6694	5.5702	k ǒ ɡ a
152	sebe	298792	371.0373	5.5694	s ê b e
153	drugi	297847	369.8638	5.568	d r û ɡ iː
154	mesto	295265	366.6575	5.5643	m ê s t o
155	dosta	294117	365.2319	5.5626	d ô s t a
156	zajedno	293732	364.7538	5.562	z â j e d n o
157	prema	289210	359.1384	5.5553	p r ê m a
158	problem	287164	356.5977	5.5522	p r ǒ b l eː m
159	vrlo	285431	354.4457	5.5495	ʋ r̂ l o
160	vrata	283711	352.3098	5.5469	ʋ r ǎː t a
161	drago	283072	351.5163	5.5459	d r âː ɡ o
162	на	279971	347.6655	5.5412	n a
163	ponovo	278902	346.3381	5.5395	p ô n o ʋ o
164	kroz	275136	341.6615	5.5336	k r ô z
165	tko	273721	339.9043	5.5314	t k ô
166	brzo	271887	337.6269	5.5284	b r̂ː z o
167	siguran	269290	334.402	5.5243	s î ɡ uː r a n
168	ma	267426	332.0873	5.5213	m â
169	ти	265839	330.1165	5.5187	t îː
170	шта	262360	325.7963	5.5129	ʃ t â
171	njim	261848	325.1605	5.5121	ɲ îː m
172	pod	258277	320.7261	5.5061	p ô d
173	gore	254637	316.206	5.5	ɡ ô r e  |  ɡ ô r eː
174	par	254391	315.9005	5.4996	p âː r
175	naš	252223	313.2083	5.4958	n â ʃ
176	dugo	252222	313.2071	5.4958	d û ɡ o
177	nekoliko	249982	310.4255	5.492	n ê k o l i k o
178	previše	249837	310.2454	5.4917	p r ê ʋ i ʃ eː
179	vaš	247502	307.3458	5.4876	ʋ â ʃ  |  ʋ âː ʃ
180	mali	245828	305.2671	5.4847	m âː l i
181	minuta	245122	304.3903	5.4834	m i n ǔː t a
182	ми	244170	303.2082	5.4817	m îː
183	ovako	241945	300.4452	5.4778	o ʋ ǎ k oː
184	svaki	241911	300.403	5.4777	s ʋ â k iː
185	nama	241652	300.0813	5.4772	n â m a
186	unutra	241124	299.4257	5.4763	ǔ n uː t r a
187	protiv	240186	298.2609	5.4746	p r ô t i ʋ
188	pravo	239320	297.1855	5.473	p r â ʋ o  |  p r ǎː ʋ o
189	за	233393	289.8254	5.4621	z a
190	vama	232783	289.0679	5.461	ʋ â m a
