Rank	Bigram	Frequency	Frequency per million	Zipf value
1	e$	12526289	29640.0022	7.4719
2	a$	10435090	24691.7575	7.3926
3	o$	10143907	24002.7534	7.3803
4	^s	9780291	23142.3566	7.3644
5	^t	7532413	17823.3743	7.251
6	^n	7262718	17185.2156	7.2352
7	^p	6947250	16438.7477	7.2159
8	m$	6140780	14530.4593	7.1623
9	i$	5421127	12827.5993	7.1081
10	to	5397090	12770.7224	7.1062
11	^v	5211232	12330.9408	7.091
12	^m	5189935	12280.5473	7.0892
13	^a	4383335	10371.9512	7.0159
14	ne	4341514	10272.9934	7.0117
15	ie	4027803	9530.683	6.9791
16	pr	3459671	8186.3556	6.9131
17	po	3449383	8162.0119	6.9118
18	u$	3439290	8138.1296	6.9105
19	je	3413435	8076.9509	6.9072
20	te	3322339	7861.3973	6.8955
21	^j	3263982	7723.3116	6.8878
22	^d	3230602	7644.3271	6.8833
23	st	3222259	7624.5857	6.8822
24	y$	3172236	7506.2201	6.8754
25	om	3124268	7392.717	6.8688
26	ni	3069429	7262.9557	6.8611
27	na	2935872	6946.93	6.8418
28	^z	2870292	6791.753	6.832
29	ť$	2848388	6739.9232	6.8287
30	al	2830209	6696.9077	6.8259
31	ch	2824626	6683.697	6.825
32	^b	2696491	6380.501	6.8049
33	ov	2687191	6358.4951	6.8034
34	re	2658238	6289.9858	6.7986
35	ak	2637384	6240.6406	6.7952
36	^k	2580927	6107.0507	6.7858
37	ta	2440065	5773.7397	6.7615
38	^o	2408153	5698.2287	6.7557
39	l$	2359449	5582.9842	6.7469
40	ko	2355493	5573.6234	6.7461
41	ho	2352505	5566.5531	6.7456
42	ra	2304839	5453.7647	6.7367
43	sa	2267423	5365.2301	6.7296
44	le	2265223	5360.0244	6.7292
45	en	2253974	5333.4067	6.727
46	la	2221572	5256.7364	6.7207
47	em	2208988	5226.9598	6.7182
48	ro	2148072	5082.8189	6.7061
49	do	2098818	4966.2729	6.696
50	že	2073792	4907.0558	6.6908
51	ve	2056043	4865.0577	6.6871
52	me	1977659	4679.5836	6.6702
53	si	1922086	4548.0855	6.6578
54	de	1902406	4501.5182	6.6534
55	so	1849451	4376.2148	6.6411
56	ed	1842766	4360.3966	6.6395
57	ri	1795226	4247.9063	6.6282
58	li	1780556	4213.1938	6.6246
59	no	1759993	4164.5372	6.6196
60	j$	1751500	4144.4408	6.6175
61	an	1667017	3944.5352	6.596
62	k$	1649893	3904.016	6.5915
63	vi	1624822	3844.6924	6.5849
64	mi	1610495	3810.7915	6.581
65	ia	1608266	3805.5172	6.5804
66	ol	1606199	3800.6262	6.5799
67	vo	1603101	3793.2956	6.579
68	va	1585243	3751.0396	6.5742
69	^h	1583672	3747.3223	6.5737
70	^č	1576101	3729.4076	6.5716
71	ob	1575005	3726.8142	6.5713
72	er	1574207	3724.9259	6.5711
73	or	1549082	3665.4746	6.5641
74	čo	1540916	3646.152	6.5618
75	ti	1537560	3638.2109	6.5609
76	^c	1536593	3635.9228	6.5606
77	ma	1506380	3564.4321	6.552
78	^ž	1502993	3556.4177	6.551
79	^r	1479632	3501.1403	6.5442
80	od	1475990	3492.5225	6.5431
81	za	1446929	3423.7577	6.5345
82	el	1442848	3414.1012	6.5333
83	et	1391827	3293.3741	6.5176
84	bo	1366201	3232.7372	6.5096
85	v$	1354351	3204.6975	6.5058
86	š$	1336701	3162.9336	6.5001
87	n$	1325332	3136.032	6.4964
88	il	1324642	3134.3993	6.4962
89	am	1319970	3123.3443	6.4946
90	os	1316519	3115.1785	6.4935
91	aj	1300631	3077.5839	6.4882
92	s$	1276773	3021.1306	6.4802
93	lo	1257848	2976.3498	6.4737
94	ej	1224956	2898.5199	6.4622
95	ad	1215288	2875.6433	6.4587
96	by	1179449	2790.8402	6.4457
97	ka	1174518	2779.1724	6.4439
98	tr	1156725	2737.0701	6.4373
99	á$	1146749	2713.4647	6.4335
100	é$	1144678	2708.5642	6.4327
101	ý$	1141342	2700.6705	6.4315
102	h$	1139645	2696.655	6.4308
103	mo	1139005	2695.1406	6.4306
104	rá	1118626	2646.9194	6.4227
105	es	1106840	2619.0311	6.4181
106	ot	1095107	2591.2682	6.4135
107	^u	1069540	2530.7709	6.4033
108	oj	1055968	2498.6565	6.3977
109	ná	1041102	2463.4802	6.3915
110	ať	1031297	2440.2794	6.3874
111	da	1022174	2418.6924	6.3836
112	in	999888	2365.9587	6.374
113	av	992519	2348.522	6.3708
114	as	988559	2339.1518	6.3691
115	ce	969316	2293.6185	6.3605
116	ím	965268	2284.04	6.3587
117	ja	961211	2274.4403	6.3569
118	eb	946730	2240.175	6.3503
119	oz	930712	2202.2728	6.3429
120	di	914249	2163.3177	6.3351
121	at	909225	2151.4298	6.3327
122	on	905178	2141.8537	6.3308
123	vy	900048	2129.7149	6.3283
124	í$	893135	2113.3572	6.325
125	^l	890679	2107.5458	6.3238
126	ok	871475	2062.1048	6.3143
127	ku	867754	2053.3001	6.3125
128	^i	862101	2039.9238	6.3096
129	ú$	850088	2011.4984	6.3035
130	eš	849122	2009.2126	6.303
131	bu	848638	2008.0674	6.3028
132	ám	845023	1999.5135	6.3009
133	oh	841733	1991.7286	6.2992
134	ud	838961	1985.1694	6.2978
135	dn	837916	1982.6967	6.2973
136	ar	832436	1969.7298	6.2944
137	sk	809003	1914.2821	6.282
138	sl	802268	1898.3456	6.2784
139	mu	797455	1886.9569	6.2758
140	z$	772935	1828.9371	6.2622
141	má	767861	1816.9309	6.2593
142	kt	766035	1812.6102	6.2583
143	ec	757370	1792.1069	6.2534
144	uj	756391	1789.7903	6.2528
145	tu	745437	1763.8707	6.2465
146	iť	730307	1728.0697	6.2376
147	ke	728645	1724.1371	6.2366
148	br	724676	1714.7455	6.2342
149	ci	717765	1698.3926	6.23
150	ek	713327	1687.8913	6.2273
151	eč	709853	1679.671	6.2252
152	sp	701263	1659.3451	6.2199
153	ic	691795	1636.9417	6.214
154	r$	680506	1610.2294	6.2069
155	pa	678355	1605.1397	6.2055
156	án	667823	1580.2186	6.1987
157	né	636586	1506.3049	6.1779
158	d$	634142	1500.5218	6.1762
159	mô	630124	1491.0144	6.1735
160	vá	629793	1490.2311	6.1733
161	it	628134	1486.3056	6.1721
162	ži	624926	1478.7147	6.1699
163	ou	611122	1446.0514	6.1602
164	ab	608847	1440.6682	6.1586
165	ný	601853	1424.1188	6.1535
166	us	595444	1408.9537	6.1489
167	ž$	592760	1402.6028	6.1469
168	be	591921	1400.6175	6.1463
169	t$	591284	1399.1102	6.1459
170	my	585360	1385.0927	6.1415
171	id	580778	1374.2507	6.1381
172	ep	573317	1356.5963	6.1325
173	se	572939	1355.7019	6.1322
174	ys	569092	1346.599	6.1292
175	še	563564	1333.5185	6.125
176	áv	563088	1332.3922	6.1246
177	ba	559611	1324.1648	6.1219
178	ha	558832	1322.3215	6.1213
179	is	557022	1318.0387	6.1199
180	oč	552198	1306.624	6.1162
181	ev	551797	1305.6752	6.1158
182	pe	545056	1289.7244	6.1105
183	oc	541343	1280.9386	6.1075
184	az	539436	1276.4263	6.106
185	hl	536243	1268.8709	6.1034
186	či	531438	1257.5012	6.0995
187	sm	531273	1257.1108	6.0994
188	bi	529403	1252.6859	6.0978
189	tv	526627	1246.1173	6.0956
190	ď$	522383	1236.075	6.092
191	ac	508690	1203.6743	6.0805
192	sť	496150	1174.0019	6.0697
193	už	488107	1154.9704	6.0626
194	ši	487049	1152.4669	6.0616
195	hc	483153	1143.2481	6.0581
196	tk	480030	1135.8584	6.0553
197	rí	479138	1133.7477	6.0545
198	tá	476799	1128.2131	6.0524
199	kr	476044	1126.4266	6.0517
200	ož	472284	1117.5296	6.0483
201	c$	470740	1113.8762	6.0468
202	eľ	466790	1104.5296	6.0432
203	zn	462978	1095.5095	6.0396
204	ky	456199	1079.4689	6.0332
205	zo	454123	1074.5566	6.0312
206	ez	451892	1069.2776	6.0291
207	nu	443798	1050.1254	6.0212
208	ča	441793	1045.3811	6.0193
209	ťa	441522	1044.7398	6.019
210	ik	440241	1041.7087	6.0177
211	ty	439845	1040.7717	6.0174
212	ôž	436361	1032.5277	6.0139
213	dy	430748	1019.2461	6.0083
214	lá	428885	1014.8379	6.0064
215	vš	425632	1007.1405	6.0031
216	^š	422102	998.7878	5.9995
217	sí	421605	997.6118	5.999
218	ým	406118	960.966	5.9827
219	ap	405173	958.73	5.9817
220	lí	403229	954.13	5.9796
221	ás	399199	944.5941	5.9752
222	ur	398081	941.9487	5.974
223	ah	394278	932.95	5.9699
224	aš	393116	930.2004	5.9686
225	op	391291	925.882	5.9666
226	ru	391027	925.2574	5.9663
227	he	387684	917.3471	5.9625
228	im	387023	915.783	5.9618
229	nt	386162	913.7457	5.9608
230	pá	383380	907.1628	5.9577
231	ní	382476	905.0238	5.9567
232	tn	382281	904.5624	5.9564
233	dr	380107	899.4182	5.954
234	^f	379617	898.2587	5.9534
235	eh	373774	884.4329	5.9467
236	eď	368262	871.3903	5.9402
237	tý	365427	864.682	5.9369
238	át	364957	863.5699	5.9363
239	sv	364276	861.9585	5.9355
240	ut	361469	855.3165	5.9321
241	^e	356524	843.6155	5.9261
242	ká	355917	842.1792	5.9254
243	hr	355051	840.1301	5.9243
244	ký	353661	836.841	5.9226
245	áš	351967	832.8327	5.9206
246	^á	351454	831.6188	5.9199
247	íš	342515	810.4671	5.9087
248	ľa	337361	798.2716	5.9022
249	ýc	336037	795.1387	5.9004
250	ič	334370	791.1942	5.8983
251	až	333941	790.1791	5.8977
252	pi	332999	787.9501	5.8965
253	iv	329287	779.1667	5.8916
254	ál	325590	770.4188	5.8867
255	du	319724	756.5385	5.8788
