Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	sa	1827081	23762.111	7.3759	s a
2	som	1421939	18493.0347	7.267	s ɔ m
3	na	1121755	14588.9902	7.164	n a
4	že	1094538	14235.0194	7.1534	ʒ ɛ
5	čo	951927	12380.2913	7.0927	t͡ʃ ɔ
6	ako	636925	8283.5312	6.9182	a k ɔ
7	s	485950	6320.0251	6.8007	s
8	do	397247	5166.3978	6.7132	d ɔ
9	ja	380762	4952.0021	6.6948	j a
10	ste	349034	4539.3634	6.657	s c ɛ
11	áno	341591	4442.5634	6.6476	aː n ɔ
12	z	324147	4215.6954	6.6249	z
13	dobre	262962	3419.9536	6.534	d ɔ b r ɛ
14	keď	259037	3368.907	6.5275	k ɛ c
15	ty	245736	3195.9208	6.5046	t i
16	ak	244188	3175.7882	6.5019	a k
17	tam	206987	2691.9705	6.4301	t a m
18	teraz	187332	2436.3473	6.3867	t ɛ r a s
19	hej	180481	2347.2465	6.3706	ɦ ɛ j
20	byť	171134	2225.6841	6.3475	b i c
21	ich	168499	2191.4146	6.3407	i x
22	ten	148647	1933.2293	6.2863	t ɛ n
23	nič	140587	1828.4049	6.2621	ɲ i t͡ʃ
24	kde	139543	1814.8272	6.2588	ɡ ɟ ɛ
25	kto	136326	1772.9885	6.2487	k t o̞
26	ešte	133022	1730.0183	6.2381	ɛ ʃ c ɛ
27	toho	127847	1662.7148	6.2208	t ɔ ɦ ɔ
28	alebo	121875	1585.0459	6.2	a l ɛ b ɔ
29	môj	121707	1582.861	6.1994	m u̯ ɔ j
30	jeho	120577	1568.1648	6.1954	j ɛ ɦ ɔ
31	jej	119653	1556.1477	6.1921	j ɛ j
32	veľmi	111208	1446.3162	6.1603	v ɛ ʎ m i
33	nás	108310	1408.6262	6.1488	n aː s
34	od	106344	1383.0574	6.1408	ɔ d
35	ani	106229	1381.5618	6.1404	a ɲ i
36	možno	103989	1352.4295	6.1311	m ɔ ʒ n ɔ
37	so	100572	1307.9896	6.1166	s ɔ
38	vy	90084	1171.5879	6.0688	v i
39	ísť	89619	1165.5403	6.0665	iː s c
40	naozaj	87542	1138.5279	6.0563	n a ɔ z a j
41	stále	86664	1127.1091	6.052	s t aː l ɛ
42	pretože	83704	1088.6128	6.0369	p r ɛ t ɔ ʒ ɛ
43	viac	83236	1082.5262	6.0344	v i̯ a t͡s
44	povedať	78762	1024.3396	6.0104	p ɔ v ɛ d a c
