Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	je	10540546	39491.978	7.5965	j èː  |  j ɛ́
2	ne	6164290	23095.5783	7.3635	n ɛ  |  n ɛ́
3	da	5352466	20053.9393	7.3022	d á
4	se	5164847	19350.9923	7.2867	s ɛ
5	v	4097799	15353.1124	7.1862	ʋ
6	sem	3820539	14314.3099	7.1558	s ə́ m
7	to	3691921	13832.4203	7.1409	t óː
8	in	3584608	13430.3536	7.1281	i n
9	si	3124890	11707.9407	7.0685	s i  |  s í
10	kaj	2979571	11163.4779	7.0478	k àː j  |  k á j
11	na	2608982	9775.0021	6.9901	n a
12	za	2175427	8150.6134	6.9112	z a
13	ti	1943104	7280.1751	6.8621	t íː
14	pa	1813942	6796.2473	6.8323	p a
15	mi	1712238	6415.1957	6.8072	m íː
16	bo	1571015	5886.0793	6.7698	b óː
17	z	1545135	5789.1154	6.7626	s
18	lahko	1516879	5683.2494	6.7546	l a x k óː
19	so	1490553	5584.6145	6.747	s ɔ́
20	če	1347524	5048.7316	6.7032	t͡ʃ ɛ
21	me	1323767	4959.7219	6.6955	m éː
22	bom	1321964	4952.9667	6.6949	b óː m
23	še	1208377	4527.3934	6.6558	ʃ ɛ  |  ʃ ɛ́
24	kot	1098564	4115.96	6.6145	k òː t  |  k ɔ t
25	ja	1072623	4018.7675	6.6041	j àː  |  j áː
26	s	1053479	3947.0412	6.5963	s
27	jaz	1047755	3925.5953	6.5939	j á s
28	tako	1042823	3907.1167	6.5919	t a k óː
29	kako	1010703	3786.7735	6.5783	k a k òː  |  k a k óː
30	ki	932706	3494.5443	6.5434	k i
31	ko	842020	3154.7735	6.499	k ɔ
32	ali	839118	3143.9007	6.4975	a l i  |  á l i  |  áː l i
33	o	820253	3073.2197	6.4876	ɔ
34	že	775527	2905.646	6.4632	ʒ éː  |  ʒ ɛ  |  ʒ ɛ́
35	od	739489	2770.6234	6.4426	ɔ t
36	boš	712327	2668.8563	6.4263	b óː ʃ
37	zakaj	707100	2649.2724	6.4231	z a k àː j  |  z a k áː j
38	ste	692844	2595.8598	6.4143	s t ɛ́
39	dobro	681282	2552.5408	6.407	d ɔ̀ː b r ɔ
40	nekaj	642637	2407.7506	6.3816	n èː k a j  |  n éː k a j
41	tukaj	634516	2377.3239	6.3761	t úː k a j
42	tudi	621223	2327.5194	6.3669	t u d i  |  t úː d i
43	smo	612705	2295.6052	6.3609	s m ɔ́
44	po	557930	2090.3812	6.3202	p ɔ
45	hvala	549009	2056.9571	6.3132	x ʋ àː l a
46	zdaj	543387	2035.8933	6.3088	z d á j
47	iz	529631	1984.3541	6.2976	i s
48	kdo	522750	1958.5733	6.2919	ɡ d òː  |  ɡ d óː
49	ampak	519636	1946.9061	6.2893	á m p a k
50	ker	507451	1901.2529	6.279	k ɛ r
51	ta	494324	1852.0703	6.2677	t áː
52	več	494046	1851.0288	6.2674	ʋ ɛ́ t͡ʃ
53	kje	443178	1660.443	6.2202	k j èː  |  k j éː
54	tu	442073	1656.3029	6.2191	t ú
55	moj	423046	1585.015	6.2	m òː j
56	bomo	420784	1576.54	6.1977	b óː m ɔ
57	do	420606	1575.8731	6.1975	d ɔ
58	vedno	407057	1525.1094	6.1833	ʋ èː d n ɔ
59	vas	403189	1510.6173	6.1792	ʋ áː s
60	nič	403023	1509.9953	6.179	n í t͡ʃ
61	prosim	391498	1466.8149	6.1664	p r òː s i m
62	zelo	386738	1448.9808	6.1611	z ɛ l óː
63	potem	371073	1390.2892	6.1431	p ɔ t éː m  |  p ɔ t ɛ́ m
64	sva	368620	1381.0986	6.1402	s ʋ á
