Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	que	38331585	33723.4875	7.5279	k e
2	de	38313824	33707.8617	7.5277	d e
3	no	33438668	29418.781	7.4686	n o  |  n u m e ɾ o
4	la	24340276	21414.1678	7.3307	l a
5	el	20235601	17802.9434	7.2505	e l
6	es	18743617	16490.3208	7.2172	e s
7	en	18050297	15880.3495	7.2009	e n
8	lo	16325075	14362.528	7.1572	l o
9	un	15104988	13289.1159	7.1235	u n
10	por	11876593	10448.8279	7.0191	p o ɾ
11	qué	11383658	10015.152	7.0007	k e
12	me	10550601	9282.2423	6.9677	m e
13	una	10230109	9000.2788	6.9543	u n a
14	te	8434245	7420.3077	6.8704	t e
15	los	8373714	7367.0536	6.8673	l o s
16	se	8161369	7180.236	6.8561	s e
17	con	7993993	7032.9814	6.8471	k o n
18	para	7481963	6582.5059	6.8184	p a ɾ a
19	está	6663485	5862.4227	6.7681	e s t a
20	mi	6449867	5674.4851	6.7539	m i
21	si	6291887	5535.497	6.7432	s i
22	sí	6198124	5453.0059	6.7366	s i
23	pero	6178727	5435.9407	6.7353	p e ɾ o
24	bien	5587767	4916.024	6.6916	b j e n
25	eso	5479813	4821.0478	6.6831	e s o
26	su	5369298	4723.8186	6.6743	s u
27	las	5344202	4701.7396	6.6723	l a s
28	yo	5090338	4478.3943	6.6511	ʝ o
29	tu	4475129	3937.1437	6.5952	t u
30	del	4433916	3900.8852	6.5912	d e l
31	aquí	4406792	3877.0219	6.5885	a k i
32	como	4278850	3764.4607	6.5757	k o m o
33	al	4256458	3744.7606	6.5734	a l
34	más	4029769	3545.3234	6.5497	m a s
35	le	3835499	3374.4079	6.5282	l e
36	esto	3567552	3138.6726	6.4967	e s t o
37	todo	3421551	3010.2234	6.4786	t o d o
38	ya	3008466	2646.7981	6.4227	ʝ a
39	estoy	2918555	2567.6959	6.4095	e s t o i
40	ahora	2916460	2565.8527	6.4092	a o ɾ a
41	vamos	2894247	2546.3101	6.4059	b a m o s
42	muy	2852391	2509.4859	6.3996	m u i  |  m w i
43	esta	2844934	2502.9254	6.3984	e s t a
44	algo	2823176	2483.783	6.3951	a l ɡ o
45	hay	2786353	2451.3868	6.3894	a i
46	así	2720686	2393.6141	6.3791	a s i
47	ha	2701685	2376.8973	6.376	a
48	tengo	2564439	2256.1506	6.3534	t e n ɡ o
49	bueno	2524581	2221.0842	6.3466	b w e n o
50	tú	2511577	2209.6434	6.3443	t u
51	sé	2478513	2180.5543	6.3386	s e
52	cuando	2454485	2159.4149	6.3343	k w a n d o
53	él	2427770	2135.9115	6.3296	e l
54	nos	2405811	2116.5923	6.3256	n o s
55	cómo	2344021	2062.2305	6.3143	k o m o
56	nada	2327020	2047.2733	6.3112	n a d a
57	este	2292616	2017.0052	6.3047	e s t e
58	o	2194678	1930.841	6.2857	o
59	puedo	2187762	1924.7564	6.2844	p w e d o
60	ser	2150206	1891.7153	6.2769	s e ɾ
61	fue	2076414	1826.7943	6.2617	f w e
62	he	2056251	1809.0552	6.2575	e
63	soy	2054611	1807.6124	6.2571	s o i
64	ella	2027876	1784.0914	6.2514	e ʝ a
65	sólo	2003732	1762.8499	6.2462	s o l o
66	todos	1887063	1660.2065	6.2202	t o d o s
67	son	1824792	1605.4215	6.2056	s o n
68	eres	1774149	1560.8666	6.1934	e ɾ e s
69	porque	1770952	1558.054	6.1926	p o ɾ k e
70	creo	1732814	1524.5008	6.1831	k ɾ e o
71	sabes	1679672	1477.7473	6.1696	s a b e s
