Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	jag	7548199	40038.7613	7.6025	j ɑː ɡ
2	det	6966066	36950.8877	7.5676	d eː  |  d eː t  |  d ə  |  d ə t  |  d ɛː  |  r ɛ  |  ɛ t
3	är	6137715	32556.9723	7.5126	eː r  |  æː r  |  ɛː r
4	du	5448586	28901.5478	7.4609	d ɵ  |  d ʉː
5	att	3913071	20756.5428	7.3172	a t  |  a tː  |  ɔ
6	inte	3865766	20505.6176	7.3119	² ɪ n t ɛ
7	en	2894803	15355.2293	7.1863	eː n  |  ɛ nː  |  ɛ ŋː
8	och	2742996	14549.9823	7.1629	ɔ  |  ɔ kː
9	har	2497783	13249.2714	7.1222	h ɑː r
10	vi	2487794	13196.2856	7.1205	v iː
11	på	2365068	12545.2963	7.0985	p oː
12	i	2133755	11318.3167	7.0538	iː  |  ɪ
13	för	1889598	10023.2073	7.001	f øː r
14	han	1764073	9357.3709	6.9712	h a nː
15	med	1715881	9101.7407	6.9591	m eː d  |  m ɛː d
16	som	1705212	9045.1479	6.9564	s ɔ m
17	vad	1679576	8909.164	6.9498	v ɑː  |  v ɑː d
18	om	1672347	8870.8184	6.948	ɔ m
19	var	1646486	8733.6409	6.9412	v ɑː ɾ
20	mig	1641840	8708.9966	6.94	m a j  |  m ɛ j
21	här	1629300	8642.4793	6.9366	h æː r
22	dig	1579932	8380.6111	6.9233	d ɛ j
23	den	1456003	7723.2405	6.8878	d ɛ nː
24	så	1444075	7659.9695	6.8842	s oː
25	kan	1369925	7266.6473	6.8613	k a nː
26	till	1361244	7220.5997	6.8586	t ɪ l
27	de	1234740	6549.5703	6.8162	d eː  |  d iː  |  d ɔ m  |  d ɪ
28	men	1045209	5544.2197	6.7438	m eː n  |  m ɛ n
29	ni	1032996	5479.4369	6.7387	n iː
30	ska	999208	5300.2114	6.7243	s k aː  |  s k ɑː
31	ett	990847	5255.8612	6.7206	ɛ t
32	av	941498	4994.0938	6.6985	ɑː v
33	vill	864602	4586.2057	6.6615	v ɪ l
34	hon	820285	4351.13	6.6386	h uː n  |  h ʊ n
35	nu	814750	4321.7701	6.6357	n ʉː
36	ja	783009	4153.4027	6.6184	j a  |  j aː  |  j ɑː
37	nej	736733	3907.9357	6.5919	n ɛ j
38	bara	734417	3895.6507	6.5906	b a  |  b ɑ r ɑ  |  ² b ɑː r a
39	hur	706417	3747.1272	6.5737	h ʉː r
40	min	700926	3718.0006	6.5703	m iː n
41	kommer	691506	3668.0331	6.5644	k ɔ m ɛ r
42	där	659677	3499.1989	6.544	d ɛː r
43	honom	644680	3419.6487	6.534	h ɔ nː ɔ m
44	skulle	559461	2967.6119	6.4724	s k ɵ lː ə
45	kom	543744	2884.2425	6.46	k ɔ m
46	då	530150	2812.1343	6.449	d oː
47	ha	505937	2683.6986	6.4287	h a  |  h ɑː  |  h ɑː v a
48	bra	501228	2658.7201	6.4247	b r ɑː  |  b r ɒː
49	får	479717	2544.6169	6.4056	f oː r
50	vara	476233	2526.1363	6.4025	v ɑː  |  v ɑː r a  |  ʋ ɑː r a
51	oss	476160	2525.7491	6.4024	ɔ s
52	er	470608	2496.299	6.3973	eː r
53	man	469645	2491.1908	6.3964	m a n  |  m ɑː n
54	ut	465698	2470.2543	6.3927	ʉː t
55	ta	465602	2469.7451	6.3927	t ɑː
56	göra	435963	2312.5276	6.3641	² j øː r a  |  ² ɡ œː r a
57	dem	406246	2154.8964	6.3334	d ɔ m
58	från	400546	2124.6612	6.3273	f r oː n  |  f r ɔ n
59	okej	399883	2121.1444	6.3266	ɔ k ɛ j  |  ʊ k ɛ j
60	eller	397524	2108.6313	6.324	ɛ l ɛ r
61	alla	395943	2100.245	6.3223	a l a
62	varför	392628	2082.6609	6.3186	¹ v a r f œ r  |  ¹ v ɑː r f œ r
63	hade	381294	2022.5407	6.3059	² h a dː ɛ
64	tror	370389	1964.696	6.2933	t r uː r
65	upp	364601	1933.9941	6.2865	ɵ p
66	sig	363471	1928.0001	6.2851	s a j  |  s ɛ j
67	henne	346223	1836.5096	6.264	h ɛ nː ɛ
68	sa	344694	1828.3992	6.2621	s ɑː
69	tack	344405	1826.8662	6.2617	t a k
70	gå	342873	1818.7398	6.2598	ɡ oː
71	in	342650	1817.5569	6.2595	ɪ n
72	få	327386	1736.5904	6.2397	f oː
73	se	318924	1691.7045	6.2283	s eː
74	nåt	294753	1563.4915	6.1941	n oː t  |  n ɔ t
75	mycket	286362	1518.9822	6.1816	m ʏ k ɛ t
76	mitt	278456	1477.0455	6.1694	m ɪ tː
77	kanske	272467	1445.2774	6.16	² k a n ɧ ɛ
78	aldrig	271227	1438.6999	6.158	a l d r i ɡ
79	hej	267602	1419.4714	6.1521	h ɛ jː
80	än	256417	1360.1415	6.1336	ɛ nː
81	efter	249940	1325.7849	6.1225	ɛ f t ɛ r
82	hans	233274	1237.3815	6.0925	h ɑː n s
83	bli	232311	1232.2734	6.0907	b l iː
84	ju	230703	1223.7439	6.0877	j ɵ  |  j ʉː
85	tillbaka	225034	1193.6732	6.0769	t ɪ l b ɑː k a
86	två	224036	1188.3794	6.075	t v oː
87	sen	222983	1182.7938	6.0729	s eː n  |  s ɛ n
88	något	221372	1174.2484	6.0698	n oː ɡ ɔ t  |  n ɔ t
89	gjorde	219350	1163.5229	6.0658	j ʊ ɖ ɛ
90	över	215910	1145.2757	6.0589	øː v æ r
91	mer	211926	1124.1429	6.0508	m eː r
92	ge	199396	1057.6786	6.0244	j eː
93	mina	192094	1018.9458	6.0082	m iː n a
94	åt	188308	998.8633	5.9995	oː t
95	väl	188105	997.7865	5.999	v ɛ lː  |  v ɛː l
96	fan	180966	959.9183	5.9822	f aː aː n  |  f aː n  |  f ɛː n
97	någon	179949	954.5237	5.9798	n oː ɡ ɔ n  |  n ɔ n
98	ner	177532	941.703	5.9739	n eː r
99	år	171993	912.3218	5.9601	oː r
100	kunde	171399	909.171	5.9586	k ɵ n d ə
101	säga	168986	896.3715	5.9525	s ɛ jː a
102	vänta	168450	893.5283	5.9511	² v ɛ nː t a
103	mot	166376	882.5269	5.9457	m uː t
104	varit	165371	877.196	5.9431	v a ʈ  |  v ɑː r ɪ t  |  v ɑː ʈ
105	andra	159486	845.9795	5.9274	a n d r a
106	borde	155750	826.1622	5.9171	b uː ɖ ə
107	vid	155667	825.722	5.9168	v iː d
108	ville	152402	808.4031	5.9076	v ɪ lː ɛ
109	några	150293	797.2161	5.9016	n oː ɡ r a
110	låt	149182	791.3229	5.8984	l oː t
111	detta	148777	789.1746	5.8972	d ɛ tː a
112	komma	143469	761.0188	5.8814	² k ɔ m a
113	såg	142259	754.6004	5.8777	s oː ɡ
114	gjort	141210	749.0361	5.8745	j ʊ ʈ
115	själv	138435	734.3163	5.8659	ɧ ɛ l v
116	prata	137717	730.5078	5.8636	p r ɑː t a
117	vår	135868	720.6999	5.8578	v oː r
118	utan	134451	713.1836	5.8532	ʉː t a n
119	blev	133193	706.5106	5.8491	b l eː v
120	hem	133144	706.2507	5.849	h ɛ m
121	tog	132854	704.7124	5.848	t uː ɡ
122	liv	131762	698.92	5.8444	l iː v
123	dag	130835	694.0028	5.8414	d ɑː ɡ
124	döda	127387	675.7132	5.8298	² d øː d a
125	va	124143	658.5057	5.8186	v a  |  v ɑː
126	tid	122847	651.6312	5.814	t iː d
127	sätt	122400	649.2601	5.8124	s ɛ tː
128	tre	119246	632.53	5.8011	t r eː
129	sin	118583	629.0131	5.7987	s iː n
130	veta	117038	620.8178	5.793	² v eː t a
131	precis	114401	606.8301	5.7831	p r ɛ s iː s  |  p r ɛ s ɪ s
132	gick	113521	602.1622	5.7797	j ɪ k
133	inga	113202	600.4701	5.7785	² ɪ ŋ a
134	innan	109506	580.865	5.7641	² ɪ n a n
135	gång	107941	572.5636	5.7578	ɡ ɔ ŋ
136	under	107471	570.0705	5.7559	ɵ n d ɛ r
137	hjälp	107352	569.4393	5.7554	j ɛ l p
138	hjälpa	107318	569.2589	5.7553	j ɛ l pː a
139	barn	107066	567.9222	5.7543	b ɑː r n
140	död	100857	534.9871	5.7283	d øː d
141	sett	98075	520.2303	5.7162	s ɛ tː
142	länge	97440	516.862	5.7134	l ɛ ŋ ɛ
143	snälla	96987	514.4591	5.7114	s n ɛ lː a
144	dom	96470	511.7167	5.709	d oː m  |  d ʊ m
145	ledsen	95289	505.4522	5.7037	l ɛ sː ə n
146	hitta	92546	490.9022	5.691	h ɪ t a
147	god	90373	479.3757	5.6807	ɡ uː  |  ɡ uː d
148	ursäkta	90174	478.3201	5.6797	ʉː r s ɛ k t a  |  ʉ̟ː ʂ ɛ k t a
149	gud	89407	474.2516	5.676	ɡ ʉː d
150	enda	85839	455.3255	5.6583	ɛ n d a
151	hand	85068	451.2358	5.6544	h a n d
152	ur	84781	449.7134	5.6529	ʉː r
153	far	84356	447.459	5.6508	f ɑː r
154	hallå	83273	441.7143	5.6451	h a l oː
155	väg	82909	439.7835	5.6432	v ɛː ɡ
156	problem	82593	438.1073	5.6416	p r ʊ b l eː m
157	helvete	82503	437.6299	5.6411	h ɛ l v eː t ɛ  |  h ɛ l v ɛ t ɛ
158	ger	82306	436.585	5.6401	j eː r
159	vän	82122	435.609	5.6391	v ɛ n  |  v ɛː n
160	sak	81905	434.4579	5.6379	s ɑː k
161	kvar	81825	434.0336	5.6375	k v ɑː r
162	vart	80701	428.0714	5.6315	v a r t  |  v ɑː r t
163	kör	75813	402.1434	5.6044	k œː r  |  ɕ œː r
164	namn	74240	393.7996	5.5953	n a m n
165	morgon	74107	393.0941	5.5945	² m ɔ r ɡ ɔ n
166	snart	73618	390.5002	5.5916	s n ɑː ʈ
167	sitt	73528	390.0228	5.5911	s ɪ tː
168	tiden	71982	381.8222	5.5819	t iː d ɛ n  |  t iː n
169	kväll	71708	380.3688	5.5802	k v ɛ lː
170	fråga	71353	378.4857	5.578	f r oː ɡ a
171	fram	70210	372.4228	5.571	f r a m
172	tro	70141	372.0568	5.5706	t r uː
173	sedan	69678	369.6009	5.5677	s eː d a n  |  s ɛ n
174	ingenting	69098	366.5243	5.5641	ɪ ŋ ɛ n tʰ ɪ ŋ
175	slut	68615	363.9623	5.5611	s l ʉː t
176	fru	68219	361.8617	5.5585	f r ʉː
177	tänkte	67627	358.7215	5.5548	t ɛ ŋ k t ɛ
178	jo	66362	352.0114	5.5466	j uː
179	genom	66153	350.9028	5.5452	j eː n oː m  |  j eː n ɔ m
180	son	65797	349.0144	5.5428	s oː n
181	era	65577	347.8475	5.5414	eː r a
182	stor	65008	344.8292	5.5376	s t uː r
183	hos	64512	342.1983	5.5343	h uː s  |  h ʊ s
184	kolla	63844	338.6549	5.5298	k ɔ l a
185	gav	63735	338.0767	5.529	ɡ ɑː v
186	dö	61556	326.5184	5.5139	d øː
187	kunna	61066	323.9193	5.5104	² k ɵ nː a
188	fem	60310	319.9091	5.505	f ɛ m
189	ihop	59005	312.9869	5.4955	ɪ h uː p
190	sex	58949	312.6898	5.4951	s ɛ k s
191	lyssna	58700	311.369	5.4933	² l ʏ s n a
192	nya	57767	306.42	5.4863	² n yː a
193	världen	57764	306.4041	5.4863	v æː ɖ ɛ n
194	tag	57420	304.5794	5.4837	t ɑː ɡ
195	skit	57194	303.3806	5.482	ɧ iː t
196	liten	56697	300.7443	5.4782	² l iː t ɛ n
197	tills	56545	299.938	5.477	t ɪ l s  |  t ɪ s
198	höra	56084	297.4927	5.4735	² h øː r a
199	män	53947	286.1571	5.4566	m ɛ n
200	tala	53848	285.632	5.4558	t ɑː l a
201	dra	53469	283.6216	5.4527	d r ɑː
202	sagt	53380	283.1495	5.452	s a k t
203	ändå	52928	280.7519	5.4483	² ɛ n d oː  |  ² ɛ n d ɔ  |  ɛ n d oː
204	fyra	52531	278.6461	5.4451	f yː r a
205	dog	50026	265.3585	5.4238	d uː ɡ
206	haft	49443	262.2661	5.4187	h a f t
207	ensam	49335	261.6932	5.4178	² ɛ nː s a mː
208	gången	48139	255.3491	5.4071	ɡ ɔ ŋ e n
209	kul	47822	253.6676	5.4043	k ʉː l
210	långt	47681	252.9197	5.403	l ɔ ŋ t
211	ny	47151	250.1084	5.3981	n yː
212	båda	47052	249.5832	5.3972	b oː d a
213	spelar	46433	246.2998	5.3915	s p eː l a r
214	bil	46020	244.1091	5.3876	b iː l
215	tillsammans	45527	241.494	5.3829	t ɪ l ¹ s a m a n s
216	fort	45321	240.4013	5.3809	f ɔ ʈ  |  f ʊ ʈ
217	kvinna	45120	239.3351	5.379	k v ɪ nː a
218	svårt	44711	237.1656	5.3751	s v oː ʈ
219	låta	44619	236.6776	5.3742	² l oː t a
220	bror	44161	234.2482	5.3697	b r uː r
221	slå	42966	227.9094	5.3578	s l oː
222	gått	42499	225.4322	5.353	ɡ ɔ t
223	vore	42429	225.0609	5.3523	² v uː r ɛ
224	hus	42361	224.7002	5.3516	h ʉː s
225	igenom	42110	223.3688	5.349	ɪ j eː n ɔ m
226	glad	42085	223.2362	5.3488	ɡ l ɑː d
227	vilja	41257	218.8441	5.3401	² v ɪ lː j a
228	tio	41118	218.1068	5.3387	t iː ɛ  |  t iː ʊ
229	kille	41066	217.831	5.3381	² k ɪ l ɛ  |  ² ɕ ɪ l ɛ
230	chans	40627	215.5024	5.3335	ɕ a n s  |  ɕ a ŋ s  |  ɧ a n s  |  ɧ a ŋ s
231	gott	40604	215.3804	5.3332	ɡ ɔ t
232	timmar	40313	213.8368	5.3301	t ɪ mː a r
233	natt	40282	213.6723	5.3297	n a tː
234	ännu	40204	213.2586	5.3289	² ɛ n ɵ  |  ɛ n ʉː
235	bor	39813	211.1846	5.3247	b oː r  |  b uː r
236	mannen	39587	209.9858	5.3222	m a nː ɛ n
237	ord	39537	209.7206	5.3216	uː r d
238	dags	39427	209.1371	5.3204	d a k s  |  d ɑː ɡ s
239	mor	39229	208.0868	5.3182	m uː r
240	spela	39185	207.8534	5.3178	s p eː l a
241	äta	39175	207.8004	5.3176	ɛː t a
242	dessa	39170	207.7738	5.3176	d ɛ sː a
243	gärna	39134	207.5829	5.3172	² j ɛː r n a
244	rum	39096	207.3813	5.3168	r ɵ m
245	gammal	38630	204.9095	5.3116	² ɡ a mː a l
246	varandra	38239	202.8354	5.3071	v a r a n d r a
247	vapen	37810	200.5598	5.3022	¹ v ɑː p ɛ n
248	tyst	37716	200.0612	5.3012	t ʏ sː t
249	känna	37044	196.4967	5.2934	ɕ ɛ n n a
250	sån	36544	193.8445	5.2875	s oː n  |  s ɔ nː
251	klar	36443	193.3087	5.2863	k l ɑː r
252	leva	35803	189.9139	5.2786	² l eː v a
253	eftersom	35774	189.7601	5.2782	² ɛ f t æ r s ɔ m
254	stå	35273	187.1025	5.2721	s t oː
255	bad	34930	185.2831	5.2678	b ɑː d
256	mat	34609	183.5804	5.2638	m ɑː t
257	skull	34514	183.0765	5.2626	s k ɵ lː
258	syster	33614	178.3025	5.2512	s ʏ sː t ɛ r
259	lätt	32945	174.7539	5.2424	l ɛ t
260	försöka	32883	174.425	5.2416	f œ r s øː k a
261	ben	32364	171.672	5.2347	b eː n
262	herr	32299	171.3272	5.2338	h ɛ r
263	förut	32279	171.2211	5.2336	f øː r ʉː t  |  f œ r ʉː t
264	utanför	31575	167.4868	5.224	² ʉː t a n f œː r
265	flytta	30974	164.2989	5.2156	² f l ʏ tː a
266	skicka	30902	163.917	5.2146	ɧ ɪ k a
267	blod	30525	161.9172	5.2093	b l uː d
268	kvinnor	30472	161.6361	5.2085	k v ɪ nː ʊ r
269	flicka	30470	161.6254	5.2085	f l ɪ kː a
270	lär	30269	160.5593	5.2056	l ɛː r
271	vatten	30247	160.4426	5.2053	v ǎ t ɛ n
272	lära	30114	159.7371	5.2034	l æː r a
273	val	29843	158.2996	5.1995	v ɑː l
274	lita	29754	157.8275	5.1982	l iː t a
275	köra	28865	153.1119	5.185	² k œ̞ː r a  |  ² ɕ œ̞ː r a
276	kalla	28443	150.8734	5.1786	² k a lː a
277	fin	28405	150.6718	5.178	f iː n
278	före	28285	150.0353	5.1762	² f øː r ɛ
279	betala	28256	149.8815	5.1757	b ɛ t ɑː l a
280	vacker	28105	149.0805	5.1734	v a k ɛ r
281	lugn	27967	148.3485	5.1713	l ɵ ŋ n
282	kompis	27786	147.3884	5.1685	¹ k ɔ m p ɪ s
283	sent	27703	146.9481	5.1672	s eː n t
284	kärlek	27416	145.4258	5.1626	ɕ ɛː r l eː k
285	full	27166	144.0997	5.1587	f ɵ l
286	nummer	27033	143.3942	5.1565	¹ n ɵ m ɛ r
287	snabbt	26846	142.4023	5.1535	s n a p t
288	alltså	26684	141.5429	5.1509	a l t s ɔ
289	snäll	26564	140.9064	5.1489	s n ɛ lː
290	tom	26370	139.8774	5.1457	t oː m  |  t u m
291	köpa	26109	138.4929	5.1414	ɕ øː p a
292	sida	26057	138.2171	5.1406	² s iː d a
293	förstå	26022	138.0314	5.14	f œ r s t oː
294	skall	26003	137.9306	5.1397	s k a l
295	tjej	25984	137.8299	5.1393	ɕ ɛ j
296	välkommen	25936	137.5752	5.1385	² v ɛː l k ɔ mː ɛ n
297	sova	25728	136.4719	5.135	² s oː v a
298	pojke	25561	135.5861	5.1322	² p ɔ j k ɛ
299	hjärta	25530	135.4217	5.1317	j ɛ r t a
300	arg	25454	135.0185	5.1304	a r j
301	skriva	25433	134.9071	5.13	s k r iː v a
302	lägga	25185	133.5916	5.1258	² l ɛ ɡ a
303	sköt	25156	133.4378	5.1253	ɧ øː t
304	hoppa	24653	130.7697	5.1165	h ɔ p a
305	svara	24625	130.6212	5.116	s v ɑː r a
306	äter	24621	130.5999	5.1159	ɛː t ɘ r
307	vecka	24596	130.4673	5.1155	² v ɛ k a
