Rank	Bigram	Frequency	Frequency per million	Zipf value
1	a$	23880	41110.96	7.614
2	ng	22402	38566.4877	7.5862
3	an	21388	36820.8213	7.5661
4	g$	20387	35097.5352	7.5453
5	o$	15360	26443.2306	7.4223
6	^n	15162	26102.3608	7.4167
7	^a	12760	21967.1629	7.3418
8	na	11979	20622.621	7.3143
9	n$	11520	19832.4229	7.2974
10	in	11499	19796.2701	7.2966
11	^s	11120	19143.7971	7.282
12	^m	10755	18515.4261	7.2675
13	^k	10051	17303.4447	7.2381
14	ka	9541	16425.4468	7.2155
15	sa	9311	16029.487	7.2049
16	la	9195	15829.7855	7.1995
17	ma	9080	15631.8056	7.194
18	^p	7272	12519.217	7.0976
19	al	7135	12283.3626	7.0893
20	ay	6951	11966.5948	7.078
21	ga	6933	11935.6066	7.0768
22	ak	6804	11713.5248	7.0687
23	pa	6771	11656.7132	7.0666
24	at	6375	10974.9736	7.0404
25	ta	6314	10869.9582	7.0362
26	ag	6245	10751.1702	7.0315
27	on	5784	9957.529	6.9982
28	i$	5734	9871.4508	6.9944
29	^i	5079	8743.826	6.9417
30	y$	4907	8447.7169	6.9267
31	ya	4677	8051.7571	6.9059
32	t$	4664	8029.3768	6.9047
33	^t	4660	8022.4905	6.9043
34	ba	4593	7907.1457	6.898
35	ko	4545	7824.5106	6.8935
36	it	4459	7676.4561	6.8852
37	^b	4385	7549.0603	6.8779
38	am	4328	7450.9311	6.8722
39	si	4327	7449.2095	6.8721
40	yo	4066	6999.8812	6.8451
41	ar	3806	6552.2744	6.8164
42	hi	3757	6467.9178	6.8108
43	^h	3751	6457.5884	6.8101
44	to	3744	6445.5374	6.8093
45	as	3671	6319.8632	6.8007
46	ha	3573	6151.1499	6.789
47	s$	3483	5996.2091	6.7779
48	di	3446	5932.5112	6.7732
49	ra	3417	5882.5859	6.7696
50	li	3263	5617.4649	6.7495
51	^d	3252	5598.5277	6.7481
52	un	3177	5469.4104	6.7379
53	il	3160	5440.1438	6.7356
54	^l	3122	5374.7243	6.7304
55	ni	3002	5168.1366	6.7133
56	wa	2979	5128.5406	6.71
57	nd	2958	5092.3878	6.7069
58	iy	2832	4875.4706	6.688
59	ki	2769	4767.0121	6.6782
60	mo	2739	4715.3651	6.6735
61	ti	2672	4600.0203	6.6628
62	ah	2604	4482.9539	6.6516
63	is	2582	4445.0795	6.6479
64	ab	2579	4439.9148	6.6474
65	ap	2534	4362.4444	6.6397
66	bi	2498	4300.4681	6.6335
67	e$	2429	4181.6801	6.6214
