Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	ang	4471	44001.5746	7.6435	a ŋ
2	sa	4410	43401.24	7.6375	s a
3	na	3749	36895.9748	7.567	n a
4	ng	3152	31020.5688	7.4916	n ɐ ŋ
5	mo	2177	21425.0566	7.3309	m o
6	ko	1886	18561.1652	7.2686	k o  |  k ɔ
7	hindi	1602	15766.1647	7.1977	h i n d e ʔ  |  h i n d i ʔ
8	ay	1466	14427.7138	7.1592	ʔ a i
9	mga	1442	14191.5166	7.152	m a ŋ a
10	at	1398	13758.4883	7.1386	ʔ a t
11	ako	1373	13512.4496	7.1307	ʔ a k o  |  ʔ a k o ʔ
12	ka	1266	12459.4036	7.0955	k a
13	lang	909	8945.9699	6.9516	l a ŋ
14	ba	865	8512.9416	6.9301	b a  |  b a ʔ
15	ito	859	8453.8923	6.9271	ʔ i t o
16	para	708	6967.8181	6.8431	p aː ɾ a
17	kung	701	6898.9273	6.8388	k u ŋ
18	siya	686	6751.304	6.8294	s i a  |  s i j a
19	ano	556	5471.9024	6.7381	ʔ a n o
20	dito	464	4566.4797	6.6596	d i t o
21	alam	446	4389.3318	6.6424	ʔ a l a m
22	lahat	443	4359.8071	6.6395	l a h a t
23	tayo	417	4103.9268	6.6132	t a j o  |  t a j o ʔ
24	nga	344	3385.4936	6.5296	ŋ a ʔ
25	wala	332	3267.3949	6.5142	w a l a ʔ
26	gusto	330	3247.7118	6.5116	ɡ u s t o
26	natin	330	3247.7118	6.5116	n a t i n  |  n a t ɛ n
27	ni	328	3228.0287	6.5089	n iː
27	oo	328	3228.0287	6.5089	oː ʔ o
28	niya	319	3139.4548	6.4969	n i j a  |  ɲ a
29	ngayon	312	3070.5639	6.4872	ŋ a j o n
29	o	312	3070.5639	6.4872	ʔ o
30	naman	305	3001.6731	6.4774	n a m a n
31	di	303	2981.99	6.4745	d e ʔ  |  d i ʔ
32	kami	295	2903.2576	6.4629	k a m ɛ  |  k a m ɪ
33	kailangan	291	2863.8913	6.457	k a i l a ŋ a n  |  k a ʔ i l a ŋ a n  |  k e l a ŋ a n
34	sige	289	2844.2082	6.454	s i ɡ e
35	namin	286	2814.6836	6.4494	n aː m ɛ n  |  n aː m ɪ n
36	tao	284	2795.0005	6.4464	t a ʔ o
37	bakit	276	2716.2681	6.434	b a k e t  |  b a k i t  |  b a t
38	kaya	273	2686.7434	6.4292	k a ɪ a ʔ  |  k aː ɪ a
39	ikaw	261	2568.6448	6.4097	ʔ i k a u
40	akin	254	2499.754	6.3979	ʔ a k i n
40	yan	254	2499.754	6.3979	j a n
41	iyon	240	2361.9722	6.3733	j o n  |  ʔ i o n
42	isa	231	2273.3983	6.3567	ʔ i s a
42	kang	231	2273.3983	6.3567	k a ŋ
43	sabihin	225	2214.349	6.3452	s a b i h i n
44	nang	216	2125.775	6.3275	n ɐ ŋ
45	kong	213	2096.2504	6.3214	k ɔ ŋ
46	dahil	206	2027.3595	6.3069	d a h i l
47	niyo	197	1938.7856	6.2875	n i o
48	huwag	191	1879.7362	6.2741	h u a ɡ  |  w a ɡ
48	nila	191	1879.7362	6.2741	n i l a
49	buhay	189	1860.0531	6.2695	b u h a i
50	iyo	188	1850.2116	6.2672	ʔ i o
51	yung	182	1791.1623	6.2531	j ɐ ŋ  |  j ʊ ŋ
52	sino	174	1712.4299	6.2336	s i n o
53	kita	170	1673.0637	6.2235	k i t a
54	saan	160	1574.6482	6.1972	s a n  |  s a ʔ a n
55	diyos	158	1554.9651	6.1917	d i o s
56	rin	151	1486.0742	6.172	ɾ e n  |  ɾ i n
57	araw	143	1407.3418	6.1484	ʔ a ɾ a u
58	salamat	141	1387.6587	6.1423	s a l a m a t
59	sabi	140	1377.8171	6.1392	s a b i
60	wag	136	1338.4509	6.1266	w a ɡ
61	taon	135	1328.6094	6.1234	t a ʔ o n
62	dapat	134	1318.7678	6.1202	d a p a t
63	din	133	1308.9263	6.1169	d e n  |  d i n
63	umalis	133	1308.9263	6.1169	ʔ u m a l i s
64	tubig	128	1259.7185	6.1003	t u b i ɡ
65	doon	127	1249.877	6.0969	d o n  |  d o ʔ o n
65	po	127	1249.877	6.0969	p o ʔ  |  p ɔ
65	siguro	127	1249.877	6.0969	s i ɡ u ɾ o
66	iyan	124	1220.3523	6.0865	i j a n  |  j a n  |  ʔ i a n
67	paano	121	1190.8277	6.0758	p a n o  |  p a ʔ a n o
68	gawin	119	1171.1446	6.0686	ɡ a w i n
68	tulad	119	1171.1446	6.0686	t u l a d
69	kay	117	1151.4615	6.0612	k a i
70	iba	107	1053.046	6.0224	ʔ i b a  |  ʔ i b a ʔ
71	kaibigan	106	1043.2044	6.0184	k a i b i ɡ a n
72	hoy	105	1033.3629	6.0143	h o i
73	pumunta	104	1023.5213	6.0101	p u m u n t a
74	tapos	101	993.9967	5.9974	t a p o s  |  t a s
75	ibig	100	984.1551	5.9931	ʔ i b i ɡ
76	bago	97	954.6304	5.9798	b a ɡ o
76	kapag	97	954.6304	5.9798	k a p a ɡ
77	nasaan	96	944.7889	5.9753	n a s a n  |  n a s a ʔ a n
78	tingnan	95	934.9473	5.9708	t i ŋ n a n
