Rank	Word	Frequency	Frequency per million	Zipf value
1	ang	4471	44001.5746	7.6435
2	sa	4410	43401.24	7.6375
3	na	3749	36895.9748	7.567
4	ng	3152	31020.5688	7.4916
5	mo	2177	21425.0566	7.3309
6	ko	1886	18561.1652	7.2686
7	hindi	1602	15766.1647	7.1977
8	ay	1466	14427.7138	7.1592
9	mga	1442	14191.5166	7.152
10	at	1398	13758.4883	7.1386
11	ako	1373	13512.4496	7.1307
12	ka	1266	12459.4036	7.0955
13	lang	909	8945.9699	6.9516
14	ba	865	8512.9416	6.9301
15	ito	859	8453.8923	6.9271
16	para	708	6967.8181	6.8431
17	kung	701	6898.9273	6.8388
18	siya	686	6751.304	6.8294
19	isang	666	6554.473	6.8165
20	si	584	5747.4658	6.7595
21	ano	556	5471.9024	6.7381
22	may	466	4586.1628	6.6614
23	dito	464	4566.4797	6.6596
24	kayo	448	4409.0149	6.6443
25	alam	446	4389.3318	6.6424
26	lahat	443	4359.8071	6.6395
27	pero	439	4320.4409	6.6355
28	tayo	417	4103.9268	6.6132
29	pa	383	3769.314	6.5763
30	nga	344	3385.4936	6.5296
31	wala	332	3267.3949	6.5142
32	gusto	330	3247.7118	6.5116
32	natin	330	3247.7118	6.5116
33	ni	328	3228.0287	6.5089
33	oo	328	3228.0287	6.5089
34	niya	319	3139.4548	6.4969
35	ngayon	312	3070.5639	6.4872
35	o	312	3070.5639	6.4872
36	naman	305	3001.6731	6.4774
37	di	303	2981.99	6.4745
38	kami	295	2903.2576	6.4629
38	sila	295	2903.2576	6.4629
39	kailangan	291	2863.8913	6.457
40	sige	289	2844.2082	6.454
41	namin	286	2814.6836	6.4494
42	tao	284	2795.0005	6.4464
43	akong	279	2745.7927	6.4387
44	bakit	276	2716.2681	6.434
45	kaya	273	2686.7434	6.4292
46	ikaw	261	2568.6448	6.4097
46	nyo	261	2568.6448	6.4097
47	anong	260	2558.8033	6.408
48	walang	256	2519.4371	6.4013
49	akin	254	2499.754	6.3979
49	yan	254	2499.754	6.3979
50	iyon	240	2361.9722	6.3733
51	talaga	237	2332.4476	6.3678
52	isa	231	2273.3983	6.3567
52	kang	231	2273.3983	6.3567
53	sabihin	225	2214.349	6.3452
54	mong	222	2184.8243	6.3394
55	nang	216	2125.775	6.3275
56	kong	213	2096.2504	6.3214
57	sya	210	2066.7257	6.3153
58	dahil	206	2027.3595	6.3069
59	niyo	197	1938.7856	6.2875
60	aking	196	1928.944	6.2853
61	nya	194	1909.2609	6.2809
62	nasa	192	1889.5778	6.2764
63	huwag	191	1879.7362	6.2741
63	nila	191	1879.7362	6.2741
64	yun	190	1869.8947	6.2718
65	buhay	189	1860.0531	6.2695
66	iyo	188	1850.2116	6.2672
67	mundo	186	1830.5285	6.2626
68	yung	182	1791.1623	6.2531
69	sino	174	1712.4299	6.2336
70	kita	170	1673.0637	6.2235
71	saan	160	1574.6482	6.1972
72	diyos	158	1554.9651	6.1917
73	rin	151	1486.0742	6.172
74	meron	150	1476.2327	6.1692
75	kahit	146	1436.8665	6.1574
75	okay	146	1436.8665	6.1574
76	araw	143	1407.3418	6.1484
77	sir	142	1397.5002	6.1454
78	salamat	141	1387.6587	6.1423
79	sabi	140	1377.8171	6.1392
80	bang	138	1358.134	6.1329
81	wag	136	1338.4509	6.1266
82	taon	135	1328.6094	6.1234
83	dapat	134	1318.7678	6.1202
83	siyang	134	1318.7678	6.1202
84	din	133	1308.9263	6.1169
84	umalis	133	1308.9263	6.1169
85	ating	130	1279.4016	6.107
85	iyong	130	1279.4016	6.107
86	tubig	128	1259.7185	6.1003
87	doon	127	1249.877	6.0969
87	po	127	1249.877	6.0969
87	siguro	127	1249.877	6.0969
88	eh	124	1220.3523	6.0865
88	iyan	124	1220.3523	6.0865
88	wood	124	1220.3523	6.0865
89	mula	121	1190.8277	6.0758
89	nelson	121	1190.8277	6.0758
89	paano	121	1190.8277	6.0758
90	gawin	119	1171.1446	6.0686
90	tulad	119	1171.1446	6.0686
91	kay	117	1151.4615	6.0612
92	noong	115	1131.7784	6.0538
93	kayong	114	1121.9368	6.05
93	nating	114	1121.9368	6.05
94	itong	112	1102.2537	6.0423
95	oh	109	1072.7291	6.0305
95	tama	109	1072.7291	6.0305
96	nakita	108	1062.8875	6.0265
97	iba	107	1053.046	6.0224
98	kaibigan	106	1043.2044	6.0184
99	hoy	105	1033.3629	6.0143
100	pumunta	104	1023.5213	6.0101
101	maging	103	1013.6798	6.0059
102	mr	102	1003.8382	6.0017
102	teka	102	1003.8382	6.0017
103	ginagawa	101	993.9967	5.9974
103	tapos	101	993.9967	5.9974
104	ibig	100	984.1551	5.9931
105	bago	97	954.6304	5.9798
105	kapag	97	954.6304	5.9798
105	kasi	97	954.6304	5.9798
106	mas	96	944.7889	5.9753
106	nasaan	96	944.7889	5.9753
107	tingnan	95	934.9473	5.9708
108	puwede	94	925.1058	5.9662
109	max	93	915.2642	5.9615
110	lamang	92	905.4227	5.9569
110	pala	92	905.4227	5.9569
110	sinabi	92	905.4227	5.9569
111	gabi	90	885.7396	5.9473
111	nandito	90	885.7396	5.9473
111	nito	90	885.7396	5.9473
112	buong	89	875.898	5.9425
113	parang	87	856.2149	5.9326
114	bahay	86	846.3734	5.9276
114	magandang	86	846.3734	5.9276
114	muna	86	846.3734	5.9276
115	tungkol	85	836.5318	5.9225
116	kaniya	84	826.6903	5.9173
116	reggie	84	826.6903	5.9173
116	to	84	826.6903	5.9173
117	sana	82	807.0072	5.9069
117	totoo	82	807.0072	5.9069
118	oras	81	797.1656	5.9015
119	kasama	80	787.3241	5.8962
120	ninyo	78	767.641	5.8852
121	ayaw	77	757.7994	5.8796
121	ibang	77	757.7994	5.8796
121	kanya	77	757.7994	5.8796
121	sinasabi	77	757.7994	5.8796
122	anak	76	747.9579	5.8739
122	ha	76	747.9579	5.8739
122	inyo	76	747.9579	5.8739
122	pangalan	76	747.9579	5.8739
