Rank	Bigram	Frequency	Frequency per million	Zipf value
1	ు$	32922	43539.3834	7.6389
2	ి$	22195	29352.9134	7.4677
3	^మ	14487	19159.0744	7.2824
4	్$	11400	15076.5133	7.1783
5	^న	10267	13578.1195	7.1328
6	ను	9623	12726.4287	7.1047
7	రు	9573	12660.3037	7.1024
8	^అ	8450	11175.1349	7.0483
9	న్	8095	10705.6469	7.0296
10	^క	7842	10371.0542	7.0158
11	ని	7720	10209.709	7.009
12	మీ	7376	9754.7686	6.9892
13	ా$	6845	9052.5205	6.9568
14	^వ	6843	9049.8755	6.9566
15	ది	6671	8822.4053	6.9456
16	ంద	6425	8497.07	6.9293
17	్న	6202	8202.1522	6.9139
18	ం$	6085	8047.4196	6.9057
19	ీర	5878	7773.6619	6.8906
20	నా	5754	7609.6717	6.8814
21	స్	5737	7587.1892	6.8801
22	క్	5672	7501.2266	6.8751
23	ార	5547	7335.914	6.8655
24	^ప	5520	7300.2064	6.8633
25	నే	5376	7109.7663	6.8519
26	^చ	5214	6895.5211	6.8386
27	రి	5171	6838.6535	6.835
28	కు	5125	6777.8185	6.8311
29	ేన	5018	6636.3109	6.8219
30	^స	4962	6562.2508	6.8171
31	ర్	4960	6559.6058	6.8169
32	ప్	4885	6460.4182	6.8103
33	ిం	4749	6280.558	6.798
34	్ర	4584	6062.3454	6.7826
35	^ఉ	4470	5911.5802	6.7717
36	లు	4382	5795.2001	6.7631
37	ాన	4174	5520.1199	6.7419
38	దు	4069	5381.2572	6.7309
39	^త	3876	5126.0145	6.7098
40	్త	3776	4993.7644	6.6984
41	ాల	3654	4832.4193	6.6842
42	క$	3616	4782.1642	6.6796
43	ున	3522	4657.8491	6.6682
44	ట్	3521	4656.5266	6.6681
45	న$	3514	4647.2691	6.6672
46	ీ$	3447	4558.6615	6.6588
47	డి	3443	4553.3715	6.6583
48	ండ	3378	4467.4089	6.6501
49	ంచ	3360	4443.6039	6.6477
50	^ఇ	3328	4401.2839	6.6436
51	్య	3258	4308.7088	6.6343
52	ఉం	3225	4265.0663	6.6299
53	ంట	3223	4262.4213	6.6297
54	ో$	3172	4194.9737	6.6227
55	^ల	3151	4167.2012	6.6198
56	్క	3139	4151.3312	6.6182
57	ే$	3060	4046.8536	6.6071
58	చి	3030	4007.1785	6.6028
59	కా	3029	4005.856	6.6027
60	డు	2985	3947.666	6.5963
61	ిక	2938	3885.5084	6.5894
62	్ప	2909	3847.1559	6.5851
63	^ఆ	2901	3836.5759	6.5839
64	ుక	2894	3827.3184	6.5829
65	వా	2875	3802.1909	6.58
66	తు	2838	3753.2583	6.5744
67	ుం	2768	3660.6832	6.5636
68	్ట	2666	3525.7881	6.5473
69	గా	2655	3511.2406	6.5455
70	ై	2641	3492.7256	6.5432
71	^గ	2638	3488.7581	6.5427
72	్ల	2623	3468.9206	6.5402
73	^ఒ	2614	3457.0181	6.5387
74	ఒక	2613	3455.6955	6.5385
75	ిన	2581	3413.3755	6.5332
76	ల్	2571	3400.1505	6.5315
77	లి	2544	3364.443	6.5269
78	ుడ	2418	3197.8078	6.5049
79	^ఎ	2381	3148.8753	6.4982
79	ియ	2381	3148.8753	6.4982
80	లే	2358	3118.4578	6.4939
81	చే	2340	3094.6527	6.4906
82	మా	2337	3090.6852	6.4901
83	ము	2336	3089.3627	6.4899
84	పు	2311	3056.3002	6.4852
85	^బ	2276	3010.0127	6.4786
86	కి	2261	2990.1751	6.4757
87	వి	2202	2912.1476	6.4642
88	టి	2201	2910.8251	6.464
89	ంగ	2182	2885.6975	6.4603
90	యి	2078	2748.1574	6.439
91	ాయ	2077	2746.8349	6.4388
92	లో	2067	2733.6099	6.4367
93	త్	2064	2729.6424	6.4361
94	మర	2044	2703.1924	6.4319
95	ాక	2016	2666.1624	6.4259
96	రా	1910	2525.9772	6.4024
97	^ఏ	1909	2524.6547	6.4022
98	యు	1907	2522.0097	6.4017
99	ేద	1905	2519.3647	6.4013
100	్చ	1890	2499.5272	6.3979
101	లా	1854	2451.9172	6.3895
102	తన	1839	2432.0796	6.386
