Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	ఈ	1193	10609.537	7.0257	iː
2	మీ	1077	9577.9307	6.9813	m iː
3	ఆ	960	8537.4313	6.9313	aː
4	యొక్క	765	6803.2656	6.8327	j o kː a
5	లో	488	4339.8609	6.6375	l oː
6	కుడి	388	3450.5452	6.5379	k u ɖ i
7	ఏ	213	1894.2426	6.2774	eː
8	తన	203	1805.311	6.2566	t̪ a n̪ a
9	పని	183	1627.4478	6.2115	p a n̪ i
10	రోజు	134	1191.6831	6.0762	r oː d ʒ u
11	రాత్రి	125	1111.6447	6.046	r aː t r i
12	కు	93	827.0637	5.9175	k u
13	తప్పు	92	818.1705	5.9128	t̪ a pː u
14	గొప్ప	69	613.6279	5.7879	ɡ o pː a
15	మూడు	63	560.2689	5.7484	m uː ɖ u
16	ఒకటి	62	551.3758	5.7414	o k a ʈ i
17	ఐ	58	515.8031	5.7125	a i
18	కొత్త	52	462.4442	5.6651	k o tː a
19	చెత్త	49	435.7647	5.6393	t͡ʃ e tː a
20	తల	45	400.1921	5.6023	t a l a
21	నువ్వు	43	382.4058	5.5825	n u ʋː u
21	నేడు	43	382.4058	5.5825	n eː ɖ u
22	ఐదు	42	373.5126	5.5723	a i d̪ u
23	నాలుగు	39	346.8331	5.5401	n̪ aː l̪ u ɡ u
24	పిల్ల	35	311.2605	5.4931	p i l̪ː a
25	తిట్టు	34	302.3674	5.4805	t i ʈː u
26	ది	32	284.581	5.4542	d i
27	నీ	30	266.7947	5.4262	n iː
27	పాట	30	266.7947	5.4262	p aː ʈ a
28	నోరు	29	257.9016	5.4115	n oː r u
29	కుక్క	28	249.0084	5.3962	k u kː a
30	ఆరు	23	204.5426	5.3108	aː r̪ u
30	దాడి	23	204.5426	5.3108	d aː ɖ i
30	భూమి	23	204.5426	5.3108	bʱ uː m i
30	య	23	204.5426	5.3108	j a
31	దగ్గు	19	168.97	5.2278	d a ɡː u
31	పక్క	19	168.97	5.2278	p a kː a
31	పది	19	168.97	5.2278	p a d̪ i
32	ఊపిరి	17	151.1837	5.1795	uː p i r i
32	గీ	17	151.1837	5.1795	ɡ iː
33	హ	15	133.3974	5.1251	x a
34	ఏడు	14	124.5042	5.0952	eː ɖ u
34	డు	14	124.5042	5.0952	ɖ u
35	నవ్వు	13	115.611	5.063	n a ʋː u
36	కల	12	106.7179	5.0282	k a l a
36	ముక్క	12	106.7179	5.0282	m u kː a
37	మాది	11	97.8247	4.9904	m aː d i
38	కర్ర	10	88.9316	4.9491	k a rː a
38	బస్సు	10	88.9316	4.9491	b a sː u
39	ఇల్లు	9	80.0384	4.9033	i lː u
39	కొవ్వు	9	80.0384	4.9033	k o ʋː u
39	చెట్టు	9	80.0384	4.9033	t͡ʃ e ʈː u
39	పరీక్ష	9	80.0384	4.9033	p a r iː k ʂ a
40	కన్ను	8	71.1453	4.8521	k a n̪ː u
40	కొట్టు	8	71.1453	4.8521	k o ʈː u
40	పాప	8	71.1453	4.8521	p aː p a
40	పులి	8	71.1453	4.8521	p u l̪ i
40	బల్లి	8	71.1453	4.8521	b a lː i
40	మాట	8	71.1453	4.8521	m aː ʈ a
40	మార్పు	8	71.1453	4.8521	m aː r p u
41	అదృష్టము	7	62.2521	4.7942	a d r ɨ ʂ ʈ a m u
41	ఏడవ	7	62.2521	4.7942	eː ɖ a ʋ a
42	కోక	6	53.3589	4.7272	k oː k a
42	చెడ్డ	6	53.3589	4.7272	t͡ʃ e ɖː a
42	చేయు	6	53.3589	4.7272	t͡ʃ e jː u
42	దారి	6	53.3589	4.7272	d aː r i
43	ఉక్కు	5	44.4658	4.648	u kː u
43	కాలు	5	44.4658	4.648	k aː l u
43	కుక్కపిల్ల	5	44.4658	4.648	k u kː a p i l̪ː a
43	గూడు	5	44.4658	4.648	ɡ uː ɖ u
43	చంద్రుడు	5	44.4658	4.648	t͡ʃ ã n̪ d̪ r u ɖ u
43	టూ	5	44.4658	4.648	ʈ uː
43	మన	5	44.4658	4.648	m a n̪ a
44	కప్పు	4	35.5726	4.5511	k a pː u
44	చిరునవ్వు	4	35.5726	4.5511	t͡ʃ i r u n a ʋː u
44	తాత	4	35.5726	4.5511	t ɐː t ɐ
