Rank	Word	Frequency	Frequency per million	Zipf value
1	మీరు	5339	47480.5685	7.6765
2	నేను	4395	39085.4277	7.592
3	ఒక	2166	19262.5794	7.2847
4	ఉంది	1419	12619.3906	7.101
5	మరియు	1415	12583.818	7.0998
6	ఈ	1193	10609.537	7.0257
7	మేము	1178	10476.1397	7.0202
8	లేదు	1167	10378.3149	7.0161
9	నా	1105	9826.9392	6.9924
10	మీ	1077	9577.9307	6.9813
11	నాకు	1026	9124.3797	6.9602
12	ఆ	960	8537.4313	6.9313
13	అతను	909	8083.8803	6.9076
14	ఇది	900	8003.8418	6.9033
15	అవును	844	7505.825	6.8754
16	యొక్క	765	6803.2656	6.8327
17	ఇక్కడ	689	6127.3856	6.7873
18	కాదు	642	5709.4072	6.7566
19	అన్ని	639	5682.7277	6.7546
20	అది	598	5318.1082	6.7258
21	ఏమి	597	5309.2151	6.725
22	కానీ	520	4624.442	6.6651
23	కోసం	516	4588.8693	6.6617
24	ఆమె	508	4517.7241	6.6549
25	ఉన్నాయి	498	4428.7925	6.6463
26	చాలా	497	4419.8993	6.6454
27	లో	488	4339.8609	6.6375
28	వారు	474	4215.3567	6.6248
29	తెలుసు	471	4188.6772	6.6221
30	ఇప్పుడు	449	3993.0278	6.6013
31	గురించి	444	3948.562	6.5964
32	వచ్చింది	435	3868.5236	6.5875
33	సంఖ్య	408	3628.4083	6.5597
34	కుడి	388	3450.5452	6.5379
35	గొన్న	385	3423.8657	6.5345
36	కలిగి	375	3334.9341	6.5231
37	ఉంటుంది	373	3317.1478	6.5208
38	మంచి	351	3121.4983	6.4944
39	ఏమిటి	339	3014.7804	6.4793
40	హే	337	2996.9941	6.4767
41	న	333	2961.4215	6.4715
42	సరే	314	2792.4515	6.446
43	చూడండి	313	2783.5583	6.4446
44	ఉంటాయి	312	2774.6652	6.4432
45	ఎలా	310	2756.8789	6.4404
46	ఓహ్	307	2730.1994	6.4362
47	నుండి	301	2676.8404	6.4276
48	తిరిగి	298	2650.161	6.4233
49	కేవలం	297	2641.2678	6.4218
50	ఎందుకు	294	2614.5883	6.4174
51	అక్కడ	293	2605.6952	6.4159
52	వద్ద	291	2587.9089	6.4129
53	అని	263	2338.9004	6.369
54	బాగా	262	2330.0073	6.3674
55	కొన్ని	260	2312.221	6.364
56	అవసరం	259	2303.3278	6.3624
57	వెళ్ళి	252	2241.0757	6.3505
58	am	248	2205.5031	6.3435
58	లేదా	248	2205.5031	6.3435
59	ఉంటే	247	2196.6099	6.3418
60	మా	238	2116.5715	6.3256
61	ధన్యవాదాలు	234	2080.9989	6.3183
62	వంటి	229	2036.5331	6.3089
63	తో	218	1938.7084	6.2875
64	ఏ	213	1894.2426	6.2774
64	చేస్తున్నాను	213	1894.2426	6.2774
65	ఏదో	209	1858.6699	6.2692
66	వ్యక్తి	208	1849.7768	6.2671
67	డౌన్	203	1805.311	6.2566
67	తన	203	1805.311	6.2566
68	పొందుటకు	202	1796.4178	6.2544
69	కమ్	201	1787.5247	6.2523
69	పొందండి	201	1787.5247	6.2523
69	మీకు	201	1787.5247	6.2523
70	అప్	200	1778.6315	6.2501
71	సర్	197	1751.952	6.2435
72	రెండు	193	1716.3794	6.2346
73	మనిషి	190	1689.6999	6.2278
74	పని	183	1627.4478	6.2115
75	నన్ను	180	1600.7684	6.2043
75	మాకు	180	1600.7684	6.2043
76	వాటిని	177	1574.0889	6.197
77	కాల్	173	1538.5163	6.1871
78	సమయం	169	1502.9436	6.1769
79	ఎప్పుడూ	166	1476.2642	6.1692
79	నిజంగా	166	1476.2642	6.1692
80	సో	165	1467.371	6.1665
81	ఎవరు	160	1422.9052	6.1532
82	అతనికి	153	1360.6531	6.1337
82	బయటకు	153	1360.6531	6.1337
83	అతనిని	151	1342.8668	6.128
83	ఖచ్చితంగా	151	1342.8668	6.128
84	ఏం	150	1333.9736	6.1251
85	ఉండాలి	148	1316.1873	6.1193
85	డబ్బు	148	1316.1873	6.1193
86	దయచేసి	145	1289.5079	6.1104
87	ప్రతి	144	1280.6147	6.1074
87	వేచి	144	1280.6147	6.1074
