Rank	Bigram	Frequency	Frequency per million	Zipf value
1	n$	109473316	23121.8133	7.364
2	^b	102974505	21749.2021	7.3374
3	r$	77961467	16466.2088	7.2166
4	e$	75205879	15884.2023	7.201
5	a$	73739094	15574.4032	7.1924
6	i$	72443516	15300.7647	7.1847
7	ar	60182806	12711.1853	7.1042
8	m$	59004049	12462.2205	7.0956
9	an	58885126	12437.1028	7.0947
10	en	57150411	12070.7144	7.0817
11	in	55267737	11673.0756	7.0672
12	er	53859617	11375.6672	7.056
13	la	51831514	10947.3124	7.0393
14	^s	51635810	10905.9778	7.0377
15	^d	49064977	10362.9933	7.0155
16	^k	48234763	10187.6441	7.0081
17	bi	47808800	10097.6767	7.0042
18	de	45861473	9686.3825	6.9862
19	le	43549207	9198.0098	6.9637
20	^a	42615123	9000.7223	6.9543
21	ma	42564103	8989.9464	6.9538
22	k$	42114634	8895.0142	6.9491
23	ir	41731664	8814.1273	6.9452
24	^g	40992173	8657.9397	6.9374
25	da	38981253	8233.2141	6.9156
26	or	38953540	8227.3609	6.9153
27	ı$	38939068	8224.3043	6.9151
28	^o	38892945	8214.5626	6.9146
29	^y	36797053	7771.8902	6.8905
30	ya	36509616	7711.1807	6.8871
31	^i	35747478	7550.2099	6.878
32	yo	34614073	7310.8239	6.864
33	ın	34023807	7186.154	6.8565
34	di	33086795	6988.2481	6.8444
35	u$	32533758	6871.4414	6.837
36	^h	32145129	6789.3593	6.8318
37	il	32027592	6764.5343	6.8302
38	ka	31929490	6743.8142	6.8289
39	am	31779952	6712.2304	6.8269
40	im	30093551	6356.0463	6.8032
41	ni	30043680	6345.5131	6.8025
42	ra	29973433	6330.6762	6.8015
43	un	29510752	6232.9536	6.7947
44	^m	28807490	6084.4179	6.7842
45	ne	28440774	6006.964	6.7787
46	al	28324740	5982.4565	6.7769
47	ak	27557713	5820.453	6.765
48	ay	27534437	5815.5369	6.7646
49	li	26622513	5622.9298	6.75
50	^e	26590959	5616.2653	6.7494
51	iy	26336189	5562.4555	6.7453
52	me	25810625	5451.4513	6.7365
53	ek	25471740	5379.8756	6.7308
54	ri	25445563	5374.3467	6.7303
55	ol	25157494	5313.5038	6.7254
56	bu	24982498	5276.543	6.7223
57	ha	24706129	5218.1712	6.7175
58	z$	24571972	5189.8359	6.7152
59	nd	24374799	5148.1911	6.7117
60	mi	24268399	5125.7184	6.7098
61	^t	23983976	5065.6455	6.7046
62	ba	22846782	4825.4593	6.6835
63	ad	22673675	4788.8974	6.6802
64	sa	22640783	4781.9503	6.6796
65	se	22465466	4744.9217	6.6762
66	el	22329036	4716.1064	6.6736
67	ta	21551731	4551.9321	6.6582
68	si	21510961	4543.3211	6.6574
69	te	21368089	4513.1451	6.6545
70	be	21089672	4454.3408	6.6488
71	^v	20080336	4241.1594	6.6275
72	et	20006891	4225.6471	6.6259
73	na	19974521	4218.8102	6.6252
