Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	bir	18838458	27192.8175	7.4345	b i r
2	bu	11060793	15965.9631	7.2032	b u
3	ve	7767272	11211.8524	7.0497	v e
4	ben	4908444	7085.2095	6.8504	b æ n  |  b ɛ n
5	var	4389789	6336.5447	6.8019	v ɑ ɾ
6	evet	4324495	6242.2945	6.7953	e v e t
7	değil	3883406	5605.5942	6.7486	d iː l
8	da	3550455	5124.9882	6.7097	d ɐ
9	daha	3317731	4789.0572	6.6803	d ɑ h ɑ
10	sen	3283388	4739.484	6.6757	s e n
11	kadar	2698077	3894.603	6.5905	k ɑ d ɑ r
12	yok	2491877	3596.9588	6.5559	j o k
13	beni	2443965	3527.799	6.5475	b e n i
14	gibi	2428374	3505.2939	6.5447	ɟ i b i
15	iyi	2383460	3440.4617	6.5366	i j i
16	tamam	2329910	3363.1637	6.5267	t a m a m  |  t a m aː m
17	her	2264002	3268.0272	6.5143	h æ ɾ  |  h ɛ ɾ
18	benim	2229358	3218.0195	6.5076	b e n i m
19	ki	1951042	2816.2777	6.4497	c i
20	neden	1865698	2693.0859	6.4303	n e d æ n
21	nasıl	1656339	2390.8817	6.3786	n a s ɯ ɫ
22	sonra	1543881	2228.5515	6.348	s ɔ n ɾ ɐ
23	şimdi	1539988	2222.9321	6.3469	ʃ i m d i
24	en	1480784	2137.4727	6.3299	ɛ n
25	öyle	1439779	2078.283	6.3177	ø j l e
26	şu	1377827	1988.857	6.2986	ʃ u
27	hadi	1313908	1896.5916	6.278	h a d i
28	güzel	1212427	1750.1064	6.2431	ɟ y z ɛ l
29	böyle	1140426	1646.1749	6.2165	b ø j l e
30	lütfen	1091228	1575.1589	6.1973	l y t f ɛ n
31	peki	963173	1390.3148	6.1431	p e c i
32	eğer	954530	1377.8389	6.1392	æː ɾ  |  ɛ j ɛ ɾ
33	çünkü	952037	1374.2403	6.1381	t ʃ y ŋ c y
34	kim	950059	1371.3851	6.1372	c i m
35	gerçekten	927502	1338.8247	6.1267	ɟ æ ɾ t ʃ e c t æ n
36	başka	922030	1330.926	6.1242	b a ʃ k ɐ
37	tek	905083	1306.4635	6.1161	t e c
38	belki	886778	1280.0407	6.1072	b ɛ l c ɪ
39	doğru	883301	1275.0217	6.1055	d o ɰ ɾ u
