Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	я	100012	29915.472	7.4759	j ɑ
2	не	92224	27585.9346	7.4407	n ɛ
3	що	72458	21673.5519	7.3359	ʃ t͡ʃ ɔ
4	це	59320	17743.7287	7.249	t͡s ɛ
5	ти	57018	17055.1572	7.2319	t ɪ
6	і	50439	15087.2545	7.1786	i
7	на	38815	11610.2972	7.0648	n ɑ
8	з	36929	11046.1591	7.0432	z
9	так	35764	10697.6857	7.0293	t ɑ k
10	ми	26179	7830.6317	6.8938	m ɪ
11	як	24853	7434.0002	6.8712	j ɑ k
12	він	24824	7425.3257	6.8707	ʋʲ i n
13	а	24679	7381.9535	6.8682	ɑ
14	ви	24375	7291.0214	6.8628	ʋ ɪ
15	мене	21738	6502.245	6.8131	m e n ɛ
16	але	19335	5783.4625	6.7622	ɐ ɫ ɛ
17	ні	19315	5777.4801	6.7617	nʲ i
18	мені	19296	5771.7969	6.7613	m e nʲ i
19	до	18601	5563.9093	6.7454	d ɔ
20	тебе	15369	4597.1572	6.6625	t e b ɛ
21	його	15359	4594.166	6.6622	j ɔ ɦ ɔ
22	все	14924	4464.0494	6.6497	ʍ s ɛ
23	тут	13333	3988.1513	6.6008	t u t
24	про	12712	3802.3985	6.5801	p r ɔ
25	вони	12653	3784.7505	6.578	w ɔ n ɪ
26	вона	11918	3564.8982	6.552	w ɔ n ɑ
27	тобі	11581	3464.0951	6.5396	t o bʲ i
28	якщо	10613	3174.5481	6.5017	j ɐ k ʃ t͡ʃ ɔ
29	ще	10264	3070.1556	6.4872	ʃ t͡ʃ ɛ
30	добре	10252	3066.5662	6.4867	d ɔ b r e
31	щоб	10112	3024.6896	6.4807	ʃ t͡ʃ ɔ b
32	та	9743	2914.3147	6.4645	t ɑ
33	є	9665	2890.9835	6.461	j ɛ
34	для	9604	2872.7372	6.4583	dʲ lʲ ɑ
35	коли	9190	2748.902	6.4392	k ɔ ɫ ɪ
36	нас	8418	2517.9823	6.4011	n ɑ s
37	вас	8283	2477.6012	6.394	ʋ ɑ s
38	вже	8103	2423.7598	6.3845	w ʒ ɛ
39	її	7800	2333.1268	6.3679	j i j i
40	був	7702	2303.8132	6.3624	b u u̯
41	чи	7157	2140.7934	6.3306	t͡ʃ ɪ
42	дуже	7079	2117.4622	6.3258	d u ʒ e
43	від	6956	2080.6706	6.3182	ʋʲ i d
44	чому	6902	2064.5181	6.3148	t͡ʃ o m u
45	там	6852	2049.5622	6.3117	t ɑ m
46	хто	6693	2002.0023	6.3015	x t ɔ
47	де	6328	1892.8239	6.2771	d ɛ
48	вам	6283	1879.3636	6.274	ʋ ɑ m
49	треба	6203	1855.4341	6.2684	t r ɛ b ɐ
50	тому	6098	1824.0266	6.261	t o m u  |  t ɔ m ʊ
51	їх	5909	1767.4931	6.2474	j i x
52	цього	5783	1729.8042	6.238	t͡sʲ ɔ ɦ ɔ
53	щось	5728	1713.3526	6.2338	ʃ t͡ʃ ɔ sʲ
54	зараз	5580	1669.083	6.2225	z ɐ r ɑ z  |  z ɑ r ɐ z
55	тільки	5517	1650.2386	6.2175	tʲ i lʲ k e
56	нам	5411	1618.532	6.2091	n ɑ m
57	бути	5246	1569.1774	6.1957	b u t e
58	й	5108	1527.899	6.1841	j
59	тепер	5008	1497.9871	6.1755	t e p ɛ r
60	ось	4982	1490.21	6.1732	ɔ sʲ
61	мій	4947	1479.7408	6.1702	mʲ i i̯
62	дякую	4932	1475.254	6.1689	dʲ ɑ k ʊ j ʊ
63	те	4863	1454.6149	6.1627	t ɛ
64	о	4849	1450.4272	6.1615	ɔ
65	всі	4498	1345.4365	6.1289	ʍ sʲ i
66	більше	4300	1286.211	6.1093	bʲ i lʲ ʃ e
67	бо	4220	1262.2814	6.1012	b ɔ
68	тоді	4192	1253.9061	6.0983	t o dʲ i
69	можна	4023	1203.355	6.0804	m ɔ ʒ n ɐ
70	була	3988	1192.8859	6.0766	b ʊ ɫ ɑ
71	йому	3925	1174.0414	6.0697	j o m u
72	час	3864	1155.7951	6.0629	t͡ʃ ɑ s
73	давай	3837	1147.7189	6.0598	d ɐ ʋ ɑ i̯
74	лише	3799	1136.3524	6.0555	ɫ e ʃ ɛ
75	привіт	3780	1130.6692	6.0533	p r e ʋʲ i t
76	ніколи	3734	1116.9097	6.048	nʲ i k ɔ ɫ e
77	навіть	3688	1103.1502	6.0426	n ɑ ʋʲ i tʲ
78	того	3606	1078.6225	6.0329	t ɔ ɦ ɔ
79	цей	3539	1058.5815	6.0247	t͡s ɛ i̯
80	нього	3502	1047.5141	6.0202	nʲ ɔ ɦ ɔ
81	життя	3455	1033.4555	6.0143	ʒ e tʲː ɑ
82	один	3365	1006.5348	6.0028	ɔ d ɪ n
83	теж	3318	992.4763	5.9967	t ɛ ʒ
84	моя	3143	940.1305	5.9732	m ɔ j ɑ
85	або	3075	919.7904	5.9637	ɐ b ɔ
86	який	2968	887.7847	5.9483	j ɐ k ɪ i̯
87	сюди	2965	886.8873	5.9479	sʲ ʊ d ɪ
88	себе	2964	886.5882	5.9477	s e b ɛ
89	із	2960	885.3917	5.9471	i z
90	таке	2929	876.119	5.9426	t ɐ k ɛ
91	тобою	2921	873.7261	5.9414	t ɔ b ɔ j ʊ
92	багато	2868	857.8728	5.9334	b ɐ ɦ ɑ t ɔ
93	були	2855	853.9842	5.9314	b ʊ ɫ ɪ
94	завжди	2830	846.5063	5.9276	z ɐ u̯ ʒ d ɪ  |  z ɑ u̯ ʒ d e
95	сьогодні	2826	845.3098	5.927	sʲ ɔ ɦ ɔ dʲ nʲ i
96	ласка	2698	807.0226	5.9069	ɫ ɑ s k ɐ
97	без	2680	801.6385	5.904	b ɛ z
98	мною	2630	786.6825	5.8958	m n ɔ j ʊ
99	ці	2584	772.923	5.8881	t͡sʲ i
100	сказати	2551	763.0521	5.8826	s k ɐ z ɑ t e
101	зробити	2546	761.5565	5.8817	z r ɔ b ɪ t e
102	трохи	2519	753.4803	5.8771	t r ɔ x e
103	які	2485	743.3103	5.8712	j ɐ kʲ i
104	день	2430	726.8587	5.8614	d ɛ nʲ
105	боже	2404	719.0817	5.8568	b ɔ ʒ e
106	хотів	2365	707.416	5.8497	x o tʲ i u̯
107	собі	2344	701.1345	5.8458	s o bʲ i
108	них	2329	696.6477	5.843	n ɪ x
109	під	2312	691.5627	5.8398	pʲ i d
110	робити	2273	679.8971	5.8324	r ɔ b ɪ t e
111	той	2261	676.3077	5.8301	t ɔ i̯
112	знову	2243	670.9235	5.8267	z n ɔ w ʊ
112	твій	2243	670.9235	5.8267	tʲ ʋʲ i i̯
113	ніж	2205	659.557	5.8193	nʲ i ʒ
114	люди	2195	656.5658	5.8173	lʲ u d e
115	потім	2177	651.1817	5.8137	p ɔ tʲ i m
116	яка	2102	628.7478	5.7985	j ɐ k ɑ
117	цю	2079	621.868	5.7937	t͡sʲ u
118	цьому	2071	619.4751	5.792	t͡sʲ o m u  |  t͡sʲ ɔ m ʊ
119	гей	2017	603.3227	5.7805	ɦ ɛ i̯
120	після	1993	596.1438	5.7754	pʲ i sʲ lʲ ɐ
121	ніхто	1979	591.9562	5.7723	nʲ i x t ɔ
122	правда	1927	576.402	5.7607	p r ɑ u̯ d ɐ
123	неї	1926	576.1029	5.7605	n ɛ j i
124	чудово	1920	574.3081	5.7591	t͡ʃ ʊ d ɔ w ɔ
125	ця	1906	570.1205	5.756	t͡sʲ ɑ
126	скільки	1901	568.6249	5.7548	sʲ kʲ i lʲ k e
127	раз	1900	568.3258	5.7546	r ɑ z
128	такий	1896	567.1293	5.7537	t ɐ k ɪ i̯
128	їй	1896	567.1293	5.7537	j i i̯
129	разом	1887	564.4372	5.7516	r ɑ z ɔ m
130	два	1886	564.1381	5.7514	d ʋ ɑ
130	мої	1886	564.1381	5.7514	m ɔ j i
131	твоя	1869	559.0531	5.7475	t w ɔ j ɑ
132	звичайно	1868	558.754	5.7472	z ʋ e t͡ʃ ɑ i̯ n ɔ
133	куди	1852	553.9681	5.7435	k ʊ d ɪ
134	їм	1841	550.6778	5.7409	j i m
135	буду	1840	550.3786	5.7407	b u d ʊ
136	справді	1836	549.1822	5.7397	s p r ɑ u̯ dʲ i
137	хтось	1835	548.883	5.7395	x t ɔ sʲ
138	цим	1775	530.9359	5.725	t͡s ɪ m
139	сам	1769	529.1412	5.7236	s ɑ m
140	хіба	1746	522.2615	5.7179	xʲ i b ɑ
141	гроші	1739	520.1676	5.7161	ɦ r o ʃʲ i  |  ɦ r ɔ ʃʲ i
142	досить	1680	502.5196	5.7012	d ɔ s e tʲ
143	місце	1646	492.3496	5.6923	mʲ i s t͡s e
144	якби	1618	483.9743	5.6848	j ɐ ɡ b ɪ
145	воно	1600	478.5901	5.68	w ɔ n ɔ
146	вибачте	1589	475.2998	5.677	ʋ ɪ b ɐ t͡ʃ t e
147	додому	1545	462.1386	5.6648	d ɔ d ɔ m ʊ
148	точно	1521	454.9597	5.658	t ɔ t͡ʃ n ɔ
149	нема	1520	454.6606	5.6577	n e m ɑ
150	мого	1508	451.0712	5.6542	m ɔ ɦ ɔ
151	три	1491	445.9862	5.6493	t r ɪ
152	навіщо	1456	435.517	5.639	n ɐ ʋʲ i ʃ t͡ʃ ɔ
153	також	1432	428.3382	5.6318	t ɐ k ɔ ʒ  |  t ɑ k ɔ ʒ
154	мати	1429	427.4408	5.6309	m ɑ t e
155	мабуть	1428	427.1417	5.6306	m ɐ b u tʲ  |  m ɑ b ʊ tʲ
156	чоловік	1420	424.7487	5.6281	t͡ʃ ɔ ɫ ɔ ʋʲ i k
157	моє	1419	424.4496	5.6278	m ɔ j ɛ
158	звідси	1410	421.7575	5.6251	zʲ ʋʲ i d͡z s e
159	наш	1390	415.7752	5.6189	n ɑ ʃ
160	отже	1375	411.2884	5.6141	ɔ d ʒ e
161	перед	1365	408.2972	5.611	p e r ɛ d  |  p ɛ r e d
162	кілька	1361	407.1007	5.6097	kʲ i lʲ k ɐ
163	вами	1358	406.2034	5.6087	ʋ ɑ m e
164	батько	1355	405.306	5.6078	b ɑ tʲ k ɔ
165	пані	1335	399.3236	5.6013	p ɑ nʲ i
166	ваша	1331	398.1272	5.6	ʋ ɑ ʃ ɐ
167	речі	1321	395.136	5.5967	r ɛ t͡ʃʲ i
167	туди	1321	395.136	5.5967	t ʊ d ɪ
168	знати	1317	393.9395	5.5954	z n ɑ t e
169	чорт	1302	389.4527	5.5905	t͡ʃ ɔ r t
170	ваш	1291	386.1624	5.5868	ʋ ɑ ʃ
171	тим	1269	379.5818	5.5793	t ɪ m
172	допомогти	1265	378.3853	5.5779	d ɔ p ɔ m ɔ ɦ t ɪ
173	нами	1263	377.7871	5.5772	n ɑ m e
174	людина	1262	377.488	5.5769	lʲ ʊ d ɪ n ɐ
175	завтра	1251	374.1977	5.5731	z ɑ u̯ t r ɐ
176	знайти	1240	370.9073	5.5693	z n ɐ i̯ t ɪ
176	зовсім	1240	370.9073	5.5693	z ɔ u̯ sʲ i m
177	мама	1236	369.7109	5.5679	m ɑ m ɐ
178	йти	1232	368.5144	5.5665	i̯ t ɪ
179	така	1222	365.5232	5.5629	t ɐ k ɑ
180	далі	1204	360.1391	5.5565	d ɑ lʲ i
181	ім'я	1169	349.6699	5.5437	i m j ɐ  |  i m j ɑ
182	звісно	1164	348.1743	5.5418	zʲ ʋʲ i s n ɔ
183	піти	1143	341.8928	5.5339	pʲ i t ɪ
184	одна	1140	340.9955	5.5327	ɔ d n ɑ
185	справа	1139	340.6963	5.5324	s p r ɑ ʋ ɐ
186	справи	1136	339.799	5.5312	s p r ɑ ʋ e
186	ті	1136	339.799	5.5312	tʲ i
187	шкода	1135	339.4999	5.5308	ʃ k ɔ d ɐ  |  ʃ k ɔ d ɑ
188	звідки	1134	339.2007	5.5305	zʲ ʋʲ i d k e
189	такі	1131	338.3034	5.5293	t ɐ kʲ i
190	тож	1124	336.2096	5.5266	t ɔ ʒ
191	свій	1109	331.7228	5.5208	sʲ ʋʲ i i̯
192	мамо	1092	326.6378	5.5141	m ɑ m ɔ
193	мою	1082	323.6466	5.5101	m ɔ j u
194	взагалі	1063	317.9633	5.5024	w z ɐ ɦ ɐ lʲ i
195	дня	1058	316.4677	5.5003	dʲ nʲ ɑ
196	тобто	1042	311.6818	5.4937	t ɔ b t ɔ
197	наші	1039	310.7845	5.4925	n ɑ ʃʲ i
198	цих	1038	310.4853	5.492	t͡s ɪ x
199	поговорити	1033	308.9897	5.4899	p ɔ ɦ ɔ w ɔ r ɪ t e
200	весь	1032	308.6906	5.4895	ʋ ɛ sʲ
201	тих	1025	306.5968	5.4866	t ɪ x
202	хоч	1020	305.1012	5.4844	x ɔ t͡ʃ
203	над	1017	304.2038	5.4832	n ɑ d
204	світ	1014	303.3065	5.4819	sʲ ʋʲ i t
205	майже	1010	302.11	5.4802	m ɑ i̯ ʒ e
206	двері	1007	301.2127	5.4789	d ʋ ɛ rʲ i
207	син	1002	299.7171	5.4767	s ɪ n
208	твої	982	293.7347	5.468	t w ɔ j i
209	насправді	976	291.94	5.4653	n ɐ s p r ɑ u̯ dʲ i
210	хлопець	974	291.3417	5.4644	x ɫ ɔ p e t͡sʲ
211	швидко	972	290.7435	5.4635	ʃ ʋ ɪ d k ɔ
212	тато	970	290.1453	5.4626	t ɑ t ɔ
213	бачити	969	289.8461	5.4622	b ɑ t͡ʃ e t e
214	своє	966	288.9488	5.4608	s w ɔ j ɛ
215	руки	962	287.7523	5.459	r u k e  |  r ʊ k ɪ
216	прямо	947	283.2655	5.4522	p rʲ ɑ m ɔ
216	раніше	947	283.2655	5.4522	r ɐ nʲ i ʃ e
217	між	919	274.8902	5.4392	mʲ i ʒ
218	жінка	907	271.3008	5.4335	ʒʲ i n k ɐ
219	питання	902	269.8052	5.4311	p e t ɑ nʲː ɐ
220	десь	891	266.5149	5.4257	d ɛ sʲ
221	досі	888	265.6175	5.4243	d o sʲ i  |  d ɔ sʲ i
222	колись	870	260.2334	5.4154	k ɔ ɫ ɪ sʲ
223	добрий	864	258.4387	5.4124	d ɔ b r e i̯
224	ваші	855	255.7466	5.4078	ʋ ɑ ʃʲ i
225	говорити	854	255.4475	5.4073	ɦ ɔ w ɔ r ɪ t e
226	твоє	848	253.6528	5.4042	t w ɔ j ɛ
227	аби	837	250.3625	5.3986	ɐ b ɪ
228	хай	833	249.166	5.3965	x ɑ i̯
229	побачити	832	248.8669	5.396	p ɔ b ɑ t͡ʃ e t e
230	занадто	831	248.5677	5.3954	z ɐ n ɑ d t ɔ
231	яке	827	247.3713	5.3933	j ɐ k ɛ
232	дві	821	245.5766	5.3902	dʲ ʋʲ i
233	довго	818	244.6792	5.3886	d ɔ u̯ ɦ ɔ
234	щодо	806	241.0898	5.3822	ʃ t͡ʃ ɔ d ɔ
235	жити	790	236.3039	5.3735	ʒ ɪ t e
236	біля	786	235.1074	5.3713	bʲ i lʲ ɐ
237	великий	782	233.9109	5.3691	ʋ e ɫ ɪ k e i̯
238	ними	781	233.6118	5.3685	n ɪ m e
239	наша	774	231.518	5.3646	n ɑ ʃ ɐ
239	негайно	774	231.518	5.3646	n e ɦ ɑ i̯ n ɔ
240	слова	763	228.2277	5.3584	s ɫ ɔ ʋ ɐ  |  s ɫ ɔ ʋ ɑ
241	очі	762	227.9285	5.3578	ɔ t͡ʃʲ i
242	важко	757	226.433	5.3549	ʋ ɑ ʒ k ɔ
243	ранку	751	224.6382	5.3515	r ɑ n k ʊ
244	уже	749	224.04	5.3503	ʊ ʒ ɛ
245	готовий	747	223.4418	5.3492	ɦ ɔ t ɔ ʋ e i̯
246	кожен	745	222.8435	5.348	k ɔ ʒ e n
247	робота	743	222.2453	5.3468	r ɔ b ɔ t ɐ
248	спасибі	741	221.647	5.3457	s p ɐ s ɪ bʲ i
249	цієї	739	221.0488	5.3445	t͡sʲ i j ɛ j i
