Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	я	178422	31068.4866	7.4923	j ɑ
2	не	160411	27932.2449	7.4461	n ɛ
3	що	72443	12614.4443	7.1009	ʃ t͡ʃ ɔ
4	на	62560	10893.525	7.0372	n ɑ
5	це	59295	10324.9931	7.0139	t͡s ɛ
6	ти	57166	9954.2719	6.998	t ɪ
7	так	51785	9017.2825	6.9551	t ɑ k
8	і	50474	8788.9991	6.9439	i
9	а	38725	6743.1547	6.8289	ɑ
10	з	37417	6515.3936	6.8139	z
11	ми	26307	4580.8178	6.6609	m ɪ
12	тебе	25660	4468.1562	6.6501	t e b ɛ
13	все	25509	4441.8627	6.6476	ʍ s ɛ
14	як	24848	4326.7633	6.6362	j ɑ k
15	він	24816	4321.1911	6.6356	ʋʲ i n
16	ви	24418	4251.8877	6.6286	ʋ ɪ
17	до	21906	3814.475	6.5814	d ɔ
18	мене	21736	3784.8731	6.5781	m e n ɛ
19	але	19321	3364.351	6.5269	ɐ ɫ ɛ
20	мені	19292	3359.3012	6.5262	m e nʲ i
21	ні	19281	3357.3858	6.526	nʲ i
22	для	15821	2754.8986	6.4401	dʲ lʲ ɑ
23	тут	15656	2726.1673	6.4356	t u t
24	його	15357	2674.1027	6.4272	j ɔ ɦ ɔ
25	о	14787	2574.849	6.4108	ɔ
26	про	13505	2351.6153	6.3714	p r ɔ
27	нас	13488	2348.6551	6.3708	n ɑ s
28	вас	12807	2230.0731	6.3483	ʋ ɑ s
29	вони	12651	2202.909	6.343	w ɔ n ɪ
30	вона	11915	2074.7499	6.317	w ɔ n ɑ
31	тобі	11579	2016.2424	6.3045	t o bʲ i
32	там	10808	1881.9888	6.2746	t ɑ m
33	якщо	10610	1847.5112	6.2666	j ɐ k ʃ t͡ʃ ɔ
34	ще	10264	1787.2625	6.2522	ʃ t͡ʃ ɛ
35	добре	10254	1785.5212	6.2518	d ɔ b r e
36	щоб	10112	1760.7948	6.2457	ʃ t͡ʃ ɔ b
37	та	10105	1759.5759	6.2454	t ɑ
38	вам	9950	1732.5859	6.2387	ʋ ɑ m
39	є	9660	1682.0884	6.2258	j ɛ
40	нам	9449	1645.3472	6.2163	n ɑ m
41	коли	9195	1601.1183	6.2044	k ɔ ɫ ɪ
42	вже	8099	1410.2727	6.1493	w ʒ ɛ
43	її	7799	1358.0339	6.1329	j i j i
44	був	7701	1340.9692	6.1274	b u u̯
45	чи	7214	1256.1683	6.099	t͡ʃ ɪ
46	дуже	7081	1233.0091	6.091	d u ʒ e
47	від	6955	1211.0688	6.0832	ʋʲ i d
48	чому	6900	1201.4917	6.0797	t͡ʃ o m u
49	хто	6690	1164.9246	6.0663	x t ɔ
50	тому	6524	1136.0191	6.0554	t o m u  |  t ɔ m ʊ
51	давай	6499	1131.6659	6.0537	d ɐ ʋ ɑ i̯
52	де	6437	1120.8699	6.0496	d ɛ
53	треба	6201	1079.7754	6.0333	t r ɛ b ɐ
54	їх	5910	1029.1038	6.0125	j i x
55	того	5891	1025.7953	6.0111	t ɔ ɦ ɔ
56	цього	5781	1006.6411	6.0029	t͡sʲ ɔ ɦ ɔ
57	щось	5726	997.064	5.9987	ʃ t͡ʃ ɔ sʲ
58	зараз	5578	971.2929	5.9874	z ɐ r ɑ z  |  z ɑ r ɐ z
59	тільки	5513	959.9745	5.9823	tʲ i lʲ k e
60	моя	5381	936.9894	5.9717	m ɔ j ɑ
61	те	5270	917.6611	5.9627	t ɛ
62	й	5262	916.268	5.962	j
63	бути	5246	913.482	5.9607	b u t e
64	один	5202	905.8203	5.957	ɔ d ɪ n
65	уже	5187	903.2083	5.9558	ʊ ʒ ɛ
66	тепер	5004	871.3427	5.9402	t e p ɛ r
67	ось	4981	867.3377	5.9382	ɔ sʲ
68	мій	4945	861.0691	5.935	mʲ i i̯
68	раз	4945	861.0691	5.935	r ɑ z
69	дякую	4929	858.283	5.9336	dʲ ɑ k ʊ j ʊ
70	правда	4502	783.9298	5.8943	p r ɑ u̯ d ɐ
71	всі	4495	782.7109	5.8936	ʍ sʲ i
72	без	4421	769.8254	5.8864	b ɛ z
73	себе	4373	761.4672	5.8817	s e b ɛ
74	більше	4298	748.4075	5.8741	bʲ i lʲ ʃ e
75	бо	4274	744.2284	5.8717	b ɔ
76	тоді	4194	730.298	5.8635	t o dʲ i
77	час	4155	723.507	5.8594	t͡ʃ ɑ s
78	день	4147	722.1139	5.8586	d ɛ nʲ
79	можна	4023	700.5219	5.8454	m ɔ ʒ n ɐ
80	була	3988	694.4274	5.8416	b ʊ ɫ ɑ
81	боже	3950	687.8105	5.8375	b ɔ ʒ e
82	йому	3924	683.2831	5.8346	j o m u
83	лише	3797	661.1687	5.8203	ɫ e ʃ ɛ
84	привіт	3777	657.6861	5.818	p r e ʋʲ i t
85	них	3749	652.8105	5.8148	n ɪ x
86	буду	3736	650.5468	5.8133	b u d ʊ
87	ніколи	3734	650.1986	5.813	nʲ i k ɔ ɫ e
88	навіть	3687	642.0145	5.8075	n ɑ ʋʲ i tʲ
89	цей	3537	615.8951	5.7895	t͡s ɛ i̯
90	нього	3502	609.8006	5.7852	nʲ ɔ ɦ ɔ
91	життя	3457	601.9648	5.7796	ʒ e tʲː ɑ
92	твоя	3392	590.6464	5.7713	t w ɔ j ɑ
93	теж	3318	577.7608	5.7617	t ɛ ʒ
94	люди	3308	576.0195	5.7604	lʲ u d e
95	або	3074	535.2733	5.7286	ɐ b ɔ
96	який	2966	516.4673	5.713	j ɐ k ɪ i̯
97	сюди	2963	515.9449	5.7126	sʲ ʊ d ɪ
98	із	2960	515.4225	5.7122	i z
99	тобою	2938	511.5917	5.7089	t ɔ b ɔ j ʊ
100	таке	2929	510.0245	5.7076	t ɐ k ɛ
101	два	2922	508.8056	5.7066	d ʋ ɑ
101	ему	2922	508.8056	5.7066	ɛ m ʊ
102	точно	2889	503.0594	5.7016	t ɔ t͡ʃ n ɔ
103	багато	2867	499.2285	5.6983	b ɐ ɦ ɑ t ɔ
104	були	2855	497.139	5.6965	b ʊ ɫ ɪ
105	завжди	2829	492.6116	5.6925	z ɐ u̯ ʒ d ɪ  |  z ɑ u̯ ʒ d e
106	сьогодні	2826	492.0892	5.692	sʲ ɔ ɦ ɔ dʲ nʲ i
107	сам	2748	478.5071	5.6799	s ɑ m
108	ласка	2699	469.9748	5.6721	ɫ ɑ s k ɐ
109	той	2667	464.4027	5.6669	t ɔ i̯
110	мною	2647	460.9201	5.6636	m n ɔ j ʊ
111	мама	2635	458.8305	5.6617	m ɑ m ɐ
112	ці	2584	449.9499	5.6532	t͡sʲ i
113	сказати	2550	444.0296	5.6474	s k ɐ z ɑ t e
114	зробити	2545	443.1589	5.6466	z r ɔ b ɪ t e
115	трохи	2519	438.6315	5.6421	t r ɔ x e
116	які	2487	433.0594	5.6365	j ɐ kʲ i
117	хотів	2365	411.8156	5.6147	x o tʲ i u̯
118	собі	2343	407.9848	5.6106	s o bʲ i
119	три	2333	406.2435	5.6088	t r ɪ
120	під	2311	402.4127	5.6047	pʲ i d
121	робити	2273	395.7958	5.5975	r ɔ b ɪ t e
122	твій	2244	390.746	5.5919	tʲ ʋʲ i i̯
123	знову	2243	390.5719	5.5917	z n ɔ w ʊ
124	наш	2214	385.5221	5.586	n ɑ ʃ
125	ніж	2205	383.955	5.5843	nʲ i ʒ
126	перед	2186	380.6465	5.5805	p e r ɛ d  |  p ɛ r e d
127	потім	2178	379.2535	5.5789	p ɔ tʲ i m
128	ваша	2174	378.557	5.5781	ʋ ɑ ʃ ɐ
129	вами	2162	376.4674	5.5757	ʋ ɑ m e
130	яка	2106	366.7162	5.5643	j ɐ k ɑ
131	завтра	2102	366.0197	5.5635	z ɑ u̯ t r ɐ
132	гей	2095	364.8008	5.5621	ɦ ɛ i̯
133	цю	2077	361.6664	5.5583	t͡sʲ u
134	цьому	2071	360.6216	5.5571	t͡sʲ o m u  |  t͡sʲ ɔ m ʊ
135	ваш	2056	358.0097	5.5539	ʋ ɑ ʃ
136	прямо	1995	347.3878	5.5408	p rʲ ɑ m ɔ
137	після	1994	347.2137	5.5406	pʲ i sʲ lʲ ɐ
138	нами	1986	345.8207	5.5389	n ɑ m e
139	ніхто	1975	343.9052	5.5364	nʲ i x t ɔ
140	одна	1970	343.0346	5.5353	ɔ d n ɑ
141	неї	1924	335.0247	5.5251	n ɛ j i
142	чудово	1920	334.3281	5.5242	t͡ʃ ʊ d ɔ w ɔ
143	мою	1916	333.6316	5.5233	m ɔ j u
144	разом	1903	331.3679	5.5203	r ɑ z ɔ m
144	ця	1903	331.3679	5.5203	t͡sʲ ɑ
145	скільки	1900	330.8455	5.5196	sʲ kʲ i lʲ k e
146	такий	1896	330.149	5.5187	t ɐ k ɪ i̯
147	їй	1894	329.8008	5.5183	j i i̯
148	мої	1886	328.4077	5.5164	m ɔ j i
149	звичайно	1868	325.2734	5.5122	z ʋ e t͡ʃ ɑ i̯ n ɔ
150	куди	1848	321.7908	5.5076	k ʊ d ɪ
151	їм	1841	320.5719	5.5059	j i m
152	хтось	1835	319.5271	5.5045	x t ɔ sʲ
153	справді	1833	319.1789	5.504	s p r ɑ u̯ dʲ i
154	цим	1775	309.0794	5.4901	t͡s ɪ m
155	друг	1746	304.0296	5.4829	d r u ɦ
155	хіба	1746	304.0296	5.4829	xʲ i b ɑ
156	гроші	1735	302.1142	5.4802	ɦ r o ʃʲ i  |  ɦ r ɔ ʃʲ i
157	том	1705	296.8903	5.4726	t ɔ m
158	дня	1687	293.756	5.468	dʲ nʲ ɑ
159	досить	1681	292.7112	5.4664	d ɔ s e tʲ
160	над	1675	291.6665	5.4649	n ɑ d
161	місце	1646	286.6167	5.4573	mʲ i s t͡s e
162	якби	1618	281.7411	5.4499	j ɐ ɡ b ɪ
163	воно	1600	278.6068	5.445	w ɔ n ɔ
164	вибачте	1589	276.6914	5.442	ʋ ɪ b ɐ t͡ʃ t e
165	руки	1553	270.4227	5.432	r u k e  |  r ʊ k ɪ
166	весь	1548	269.5521	5.4306	ʋ ɛ sʲ
167	додому	1544	268.8555	5.4295	d ɔ d ɔ m ʊ
168	нема	1518	264.3282	5.4221	n e m ɑ
169	мого	1509	262.761	5.4196	m ɔ ɦ ɔ
170	скоро	1458	253.8804	5.4046	s k ɔ r ɔ
171	навіщо	1454	253.1839	5.4034	n ɐ ʋʲ i ʃ t͡ʃ ɔ
172	брат	1441	250.9202	5.3995	b r ɑ t
173	також	1433	249.5272	5.3971	t ɐ k ɔ ʒ  |  t ɑ k ɔ ʒ
174	мабуть	1428	248.6565	5.3956	m ɐ b u tʲ  |  m ɑ b ʊ tʲ
174	мати	1428	248.6565	5.3956	m ɑ t e
175	чоловік	1420	247.2635	5.3932	t͡ʃ ɔ ɫ ɔ ʋʲ i k
176	моє	1416	246.567	5.3919	m ɔ j ɛ
177	звідси	1410	245.5222	5.3901	zʲ ʋʲ i d͡z s e
178	отже	1374	239.2536	5.3789	ɔ d ʒ e
179	кілька	1361	236.9899	5.3747	kʲ i lʲ k ɐ
180	батько	1354	235.771	5.3725	b ɑ tʲ k ɔ
181	потом	1342	233.6814	5.3686	p ɔ t ɔ m
182	пані	1333	232.1143	5.3657	p ɑ nʲ i
183	знати	1326	230.8954	5.3634	z n ɑ t e
