Rank	Word	Frequency	Frequency per million	Zipf value
1	ہے	11394	41353.7791	7.6165
2	میں	9988	36250.7939	7.5593
3	کے	9509	34512.2947	7.538
4	آپ	5240	19018.2379	7.2792
5	نہیں	5157	18716.9948	7.2722
6	کی	4754	17254.3326	7.2369
7	سے	4583	16633.6993	7.221
8	ایک	4508	16361.4917	7.2138
9	ہیں	4326	15700.9346	7.1959
10	کو	4101	14884.3118	7.1727
11	اس	3871	14049.5418	7.1477
12	نے	3645	13229.2895	7.1215
13	یہ	3549	12880.8638	7.1099
14	کیا	3509	12735.6864	7.105
15	تم	3236	11744.8507	7.0698
16	اور	3053	11080.6642	7.0446
17	وہ	2632	9552.6722	6.9801
18	ہو	2567	9316.7589	6.9693
19	ہم	2552	9262.3174	6.9667
20	کر	2532	9189.7287	6.9633
21	کہ	2465	8946.5566	6.9517
22	لئے	2377	8627.1663	6.9359
23	پر	2072	7520.1887	6.8762
24	ہوں	2006	7280.646	6.8622
25	تھا	1982	7193.5396	6.8569
26	کا	1926	6990.2913	6.8445
27	مجھے	1851	6718.0837	6.8272
28	بھی	1360	4936.0312	6.6934
29	کرنے	1324	4805.3716	6.6817
30	تو	1318	4783.595	6.6798
31	ٹھیک	1270	4609.3821	6.6636
32	رہے	1246	4522.2757	6.6554
33	گا	1183	4293.6213	6.6328
34	کچھ	1173	4257.3269	6.6291
35	کوئی	1157	4199.256	6.6232
36	رہا	1149	4170.2205	6.6202
37	سب	1104	4006.8959	6.6028
38	یہاں	1073	3894.3834	6.5904
39	ساتھ	1044	3789.1298	6.5785
40	ہاں	1023	3712.9117	6.5697
41	اسے	986	3578.6226	6.5537
42	گیا	983	3567.7343	6.5524
43	ان	975	3538.6988	6.5488
44	اب	945	3429.8158	6.5353
45	لیکن	926	3360.8565	6.5264
46	طرح	916	3324.5622	6.5217
47	سکتے	907	3291.8973	6.5174
48	صرف	873	3168.4965	6.5009
49	میرے	767	2783.7764	6.4446
50	اپنے	738	2678.5228	6.4279
51	گے	737	2674.8934	6.4273
52	بہت	733	2660.3756	6.4249
53	سکتا	723	2624.0813	6.419
54	جی	704	2555.122	6.4074
55	زیادہ	702	2547.8632	6.4062
56	بات	701	2544.2337	6.4056
57	کسی	651	2362.762	6.3734
58	جاؤ	637	2311.9499	6.364
59	دیا	618	2242.9907	6.3508
60	چلو	615	2232.1024	6.3487
61	جا	587	2130.4782	6.3285
62	بارے	581	2108.7016	6.324
63	کرنا	571	2072.4072	6.3165
64	دو	568	2061.5189	6.3142
65	باہر	557	2021.5951	6.3057
66	تھے	554	2010.7068	6.3033
67	کریں	539	1956.2653	6.2914
68	ضرورت	538	1952.6359	6.2906
69	میری	537	1949.0064	6.2898
70	حاصل	536	1945.377	6.289
71	تمہیں	532	1930.8593	6.2858
72	طور	520	1887.3061	6.2758
73	جانتے	519	1883.6766	6.275
74	کہا	517	1876.4177	6.2733
75	وہاں	511	1854.6411	6.2683
76	جو	510	1851.0117	6.2674
77	ہی	506	1836.494	6.264
78	چاہتے	500	1814.7174	6.2588
79	ن	491	1782.0524	6.2509
80	جائے	488	1771.1641	6.2483
81	وقت	482	1749.3875	6.2429
82	پھر	468	1698.5754	6.2301
83	اچھا	462	1676.7988	6.2245
84	کرتے	461	1673.1694	6.2235
85	کام	457	1658.6517	6.2198
86	اگر	449	1629.6162	6.2121
87	یا	441	1600.5807	6.2043
88	کرو	440	1596.9513	6.2033
89	کیوں	436	1582.4335	6.1993
90	تک	428	1553.3981	6.1913
91	کبھی	426	1546.1392	6.1892
92	چاہتا	421	1527.992	6.1841
93	کس	415	1506.2154	6.1779
94	لے	412	1495.3271	6.1747
95	انہوں	402	1459.0328	6.1641
96	پہلے	389	1411.8501	6.1498
97	جب	384	1393.7029	6.1442
97	لگتا	384	1393.7029	6.1442
98	ہمارے	382	1386.4441	6.1419
99	مل	377	1368.2969	6.1362
100	واپس	371	1346.5203	6.1292
101	کرتا	366	1328.3731	6.1233
102	کہاں	365	1324.7437	6.1221
103	مجھ	358	1299.3376	6.1137
104	ہر	351	1273.9316	6.1051
105	ہمیں	340	1234.0078	6.0913
106	نہ	338	1226.7489	6.0888
107	لوگوں	334	1212.2312	6.0836
108	طرف	331	1201.3429	6.0797
109	تمام	328	1190.4546	6.0757
110	اپنی	320	1161.4191	6.065
111	پاس	319	1157.7897	6.0636
112	مدد	313	1136.0131	6.0554
113	ایسا	305	1106.9776	6.0441
114	آدمی	304	1103.3482	6.0427
115	میرا	297	1077.9421	6.0326
116	پتہ	296	1074.3127	6.0311
117	کون	289	1048.9066	6.0207
118	بعد	287	1041.6478	6.0177
118	تھی	287	1041.6478	6.0177
118	دیکھ	287	1041.6478	6.0177
119	ارے	284	1030.7595	6.0132
120	لوگ	276	1001.724	6.0007
121	شکریہ	275	998.0945	5.9992
122	آ	274	994.4651	5.9976
122	دے	274	994.4651	5.9976
122	یقین	274	994.4651	5.9976
123	گھر	270	979.9474	5.9912
124	بند	265	961.8002	5.9831
125	نام	263	954.5413	5.9798
126	لیا	262	950.9119	5.9781
127	ماں	250	907.3587	5.9578
128	والا	249	903.7292	5.956
129	لیے	247	896.4704	5.9525
130	کوشش	245	889.2115	5.949
131	چھوڑ	244	885.5821	5.9472
132	اوہ	241	874.6938	5.9419
132	جانا	241	874.6938	5.9419
133	ہوگا	239	867.4349	5.9382
134	تلاش	238	863.8055	5.9364
135	گی	235	852.9172	5.9309
136	جاتا	231	838.3994	5.9235
137	نیچے	229	831.1405	5.9197
138	خیال	227	823.8817	5.9159
138	ہوا	227	823.8817	5.9159
139	وجہ	226	820.2522	5.9139
140	بس	214	776.699	5.8903
140	رات	214	776.699	5.8903
141	i	213	773.0696	5.8882
142	صاحب	211	765.8107	5.8841
143	mrx	210	762.1813	5.8821
143	دن	210	762.1813	5.8821
143	دیکھو	210	762.1813	5.8821
144	بار	209	758.5519	5.88
144	جانے	209	758.5519	5.88
145	خدا	208	754.9224	5.8779
146	دور	200	725.8869	5.8609
146	چاہئے	200	725.8869	5.8609
147	جگہ	199	722.2575	5.8587
147	رہی	199	722.2575	5.8587
148	بالکل	197	714.9986	5.8543
149	مطلب	196	711.3692	5.8521
150	دیکھا	195	707.7398	5.8499
151	تمہارے	193	700.4809	5.8454
152	انتظار	192	696.8515	5.8431
153	ابھی	191	693.222	5.8409
153	تیار	191	693.222	5.8409
153	کیلئے	191	693.222	5.8409
154	جانتا	189	685.9632	5.8363
154	کرے	189	685.9632	5.8363
155	جنگ	187	678.7043	5.8317
156	ہونا	184	667.816	5.8247
157	دنیا	182	660.5571	5.8199
158	معلوم	181	656.9277	5.8175
159	استعمال	180	653.2982	5.8151
160	شاید	178	646.0394	5.8103
161	والد	177	642.4099	5.8078
162	سر	176	638.7805	5.8054
162	پاگل	176	638.7805	5.8054
162	گئے	176	638.7805	5.8054
162	ہمیشہ	176	638.7805	5.8054
163	رکو	174	631.5216	5.8004
164	واقعی	173	627.8922	5.7979
165	سال	172	624.2628	5.7954
166	the	169	613.3745	5.7877
166	کم	169	613.3745	5.7877
167	آج	168	609.745	5.7851
167	زندگی	168	609.745	5.7851
168	بغیر	166	602.4862	5.7799
168	کیونکہ	166	602.4862	5.7799
168	ہونے	166	602.4862	5.7799
169	دیں	164	595.2273	5.7747
170	ضروری	161	584.339	5.7667
171	ہماری	160	580.7096	5.764
172	پسند	159	577.0801	5.7612
172	یاد	159	577.0801	5.7612
173	رہو	157	569.8213	5.7557
174	you	156	566.1918	5.753
174	خود	156	566.1918	5.753
174	سمجھ	156	566.1918	5.753
175	ء	153	555.3035	5.7445
175	کہہ	153	555.3035	5.7445
176	پیچھے	152	551.6741	5.7417
176	کیسے	152	551.6741	5.7417
177	ختم	151	548.0446	5.7388
178	فون	148	537.1563	5.7301
178	مر	148	537.1563	5.7301
178	نہيں	148	537.1563	5.7301
179	چیز	147	533.5269	5.7272
